strategy,return_train_pct,dd_train_pct,return_test_pct,dd_test_pct,sharpe_train,sharpe_test,median_pnl_per_position_train,median_pnl_per_position_test,avg_pnl_per_position_train,avg_pnl_per_position_test,sharpe_pnl_per_position_train,sharpe_pnl_per_position_test,median_pnl_per_position_train_pct,median_pnl_per_position_test_pct,trades_train,trades_test,eligible,trial,fast_period,slow_period,tp_mode,tp_pct,tp_mgmt,sl_type,sl_trailing,exit_on_flat,sl_pct,pm_mode,tp_rr,tp1_close_frac,tp_trail_pct,grid_max_adds,grid_spacing_pct,grid_size_multiplier,martingale_multiplier,martingale_max_steps,sl_atr_period,sl_atr_mult,rsi_period,rsi_low_th,rsi_high_th,bb_period,bb_std,range_lookback,range_buffer_pct,stoch_k_period,stoch_d_period,stoch_oversold,stoch_overbought,rank_pre_wf,rank_post_wf,rank_delta
stochastic,-35.972251625725384,48.407611134414104,10.460966851051579,25.545797102072605,-1.0045465618006297,0.5748692513439454,-74.57823580400986,12.94818045359682,-45.049192151190105,9.966961962354477,-1.5729893939476076,0.7595933178587593,-0.7457823580400986,0.1294818045359682,87,152,True,68,,,rr,,full,pct,False,False,4.582625129977671,martingale,6.91691536884455,,,,,,2.3955959398217512,9.0,,,,,,,,,,36.0,12.0,8.65796826304397,72.21768859896046,211,11,-200
rsi_reversion,5.197875393688345,3.9423663884125237,-2.014073889078194,4.692308991735604,1.0133137346838657,-0.42437503189335446,35.794049089648496,11.636349377898844,8.238697359327455,-2.1541278262840913,1.1632824312295562,-0.2875087644942977,0.35794049089648494,0.11636349377898844,76,57,True,46,,,pct,5.779753564631128,full,pct,True,False,9.486710002561553,none,,,,,,,,,,,35.0,38.44439062008213,77.1014479579488,,,,,,,,,8,12,4
rsi_reversion,-4.25697676017468,4.981805771172923,0.07995183947455686,1.2401764057488571,-1.735718685426767,0.06413799379287427,11.634960641225033,10.42706803972544,-13.233937513928243,8.067707231606551,-1.0693481115598877,1.5104156618634121,0.11634960641225033,0.1042706803972544,21,23,True,60,,,pct,7.078153083323061,partial_trailing,atr,True,True,,martingale,,0.4850988864935618,3.3569934607299343,,,,3.498591288878126,9.0,9.0,3.1099008160252297,26.0,12.270206581463077,81.154269745778,,,,,,,,,14,13,-1
rsi_reversion,-4.130371813428136,6.263961104800112,-1.4530881327772471,4.127257662899382,-1.1299229678253992,-0.5067206208226391,9.943990399939207,10.34736606801825,-2.192234122356026,4.941781768338016,-0.3317310323212964,1.1444549859402906,0.09943990399939207,0.1034736606801825,54,62,True,68,,,pct,1.946533252958557,full,atr,False,True,,martingale,,,,,,,2.7100326865135917,1.0,7.0,3.74991118753533,13.0,12.127112187030932,88.78930035870422,,,,,,,,,16,14,-2
rsi_reversion,-4.463009260206041,7.173938445187232,1.3197702818237955,2.1317548744118775,-1.1725189312298472,0.5133650263938785,9.263657358497204,9.640650083622427,-4.65788170682564,3.1233877848305087,-0.9935297372350606,0.9130690171358012,0.09263657358497204,0.09640650083622428,79,61,True,42,,,pct,0.8621011073050506,full,pct,True,False,8.93633408505078,martingale,,,,,,,1.8291085136810667,2.0,,,37.0,18.725228020210622,69.36340230624704,,,,,,,,,18,15,-3
rsi_reversion,-5.440969463394341,8.001667125955855,-1.0576198440697793,2.8678767491168866,-1.0567091866540819,-0.22630672902090296,2.5947097990939754,9.314633416839992,-7.085567776448295,-0.6702183107930285,-0.974335607657196,-0.11337710079878177,0.025947097990939753,0.09314633416839993,77,68,True,3,,,rr,,partial_trailing,pct,False,False,9.762432826593662,none,4.833518103603756,0.19276056919835557,3.1555888293869088,,,,,,,,40.0,29.23406543956539,64.8506555684272,,,,,,,,,32,16,-16
stochastic,16.84348532646034,8.260727503062292,-2.208600396072047,11.902599264480557,1.1260743075386646,-0.10178693937154061,13.296766880621892,7.33524979299326,10.691468884402324,1.1721804892066043,1.2680963423473703,0.2127784031214987,0.1329676688062189,0.07335249792993259,200,240,True,13,,,rr,,partial_trailing,pct,True,False,5.869463758606395,grid,0.9452667577644513,0.774914664980542,3.2041124694866174,2.0,2.6900768795184824,2.0861314682406626,,,,,,,,,,,,26.0,6.0,17.62397704592487,92.19498719443125,13,17,4
stochastic,-13.762368668328106,16.726674376868335,4.429484880929779,5.220421590974781,-1.7492677865281803,0.7467293099186795,3.577910595019719,6.4839013816408775,-12.567916326299585,3.107721890822989,-1.5951117647315007,1.0252530150701888,0.03577910595019719,0.06483901381640877,101,194,True,84,,,pct,8.84456974343953,partial_trailing,pct,False,False,9.431214837767083,grid,,0.4409592443932121,4.091904473080361,1.0,2.9023973674320604,1.1239623190700825,,,,,,,,,,,,32.0,8.0,8.58782737814905,86.39734361668985,28,18,-10
rsi_reversion,-5.62809564830652,7.148584827951969,-7.313098132001339,8.548313066169078,-1.3962778524197308,-2.2755339129273477,6.604181937544967,6.382349299354285,-0.3380110792658022,0.6976590183981138,-0.10381097891306591,0.3103351168451893,0.06604181937544967,0.06382349299354284,118,138,True,92,,,rr,,full,atr,False,True,,none,2.5896731987617176,,,,,,,,9.0,4.726889223693582,17.0,18.647164118663504,83.0768943263914,,,,,,,,,22,19,-3
stochastic,4.610843193561731,18.933650727825587,2.5188609216395985,13.724455811466548,0.3362927192310984,0.24718316434884874,10.673031367302817,6.358858402122681,4.572604776311748,2.7702629952282263,0.44663128736969454,0.5583646636003103,0.10673031367302817,0.0635885840212268,173,235,True,59,,,pct,5.8712984562697095,full,pct,False,False,7.315243728717546,grid,,,,5.0,2.4773397397857244,1.650755082237918,,,,,,,,,,,,18.0,15.0,16.707009499194847,82.9597545259111,15,20,5
rsi_reversion,-0.8089014523770088,6.454605749148971,-1.112925947427279,3.586446679084163,-0.16519368422384426,-0.35389135611687106,7.104239577709515,6.312305341484332,6.532127544212363,6.069217238507344,1.0550442680429002,1.3809826862370036,0.07104239577709515,0.06312305341484331,63,64,True,16,,,rr,,full,atr,False,True,,none,7.315366621952275,,,,,,,,11.0,1.3455395347396233,24.0,12.06146224802271,79.88834901710601,,,,,,,,,21,21,0
rsi_reversion,-9.862905365905938,12.315826746181626,-8.02599645926806,11.19098675824181,-1.5440219085954514,-1.1965305247987101,8.155600723584634,6.1329474351162725,-0.09032341161779812,1.967229171859312,-0.022664952441114827,0.5027093591964796,0.08155600723584634,0.061329474351162726,154,159,True,69,,,rr,,full,atr,False,True,,grid,5.578661131816733,,,3.0,0.42003074370184024,2.613041473183201,,,33.0,5.847290870834221,17.0,12.517817983242903,79.76631014146986,,,,,,,,,19,22,3
rsi_reversion,-3.227753972150893,5.9148272118517715,-7.641657331280838,8.718819694395279,-0.7545325311122922,-2.0319596823645742,13.297731198617239,6.082834298676145,1.4082887086921558,-1.8900523661647204,0.2798982847435707,-0.4516358966011255,0.13297731198617238,0.06082834298676145,75,89,True,86,,,pct,1.4614573470453334,partial_trailing,atr,False,True,,none,,0.37285308084020685,0.611693930140916,,,,,,56.0,5.325366443595396,40.0,29.23406543956539,83.63051680728725,,,,,,,,,12,23,11
rsi_reversion,-15.691089459864537,24.86068514901468,-32.16317052627174,32.54574318201479,-1.6062562055284055,-4.8208172060393215,9.372264296492837,5.56879114462986,2.935892100082182,-0.48795843835166014,1.352199807125415,-0.33105162666476995,0.09372264296492837,0.0556879114462986,399,447,True,65,,,rr,,full,atr,False,True,,none,7.393630366619297,,,,,,,,50.0,2.5263565379906665,24.0,28.20238074122338,78.9889834601591,,,,,,,,,17,24,7
