strategy,return_train_pct,dd_train_pct,return_test_pct,dd_test_pct,sharpe_train,sharpe_test,median_pnl_per_position_train,median_pnl_per_position_test,avg_pnl_per_position_train,avg_pnl_per_position_test,sharpe_pnl_per_position_train,sharpe_pnl_per_position_test,median_pnl_per_position_train_pct,median_pnl_per_position_test_pct,trades_train,trades_test,eligible,trial,fast_period,slow_period,tp_mode,tp_pct,tp_mgmt,sl_type,sl_trailing,exit_on_flat,sl_pct,pm_mode,tp_rr,tp1_close_frac,tp_trail_pct,grid_max_adds,grid_spacing_pct,grid_size_multiplier,martingale_multiplier,martingale_max_steps,sl_atr_period,sl_atr_mult,rsi_period,rsi_low_th,rsi_high_th,bb_period,bb_std,range_lookback,range_buffer_pct,stoch_k_period,stoch_d_period,stoch_oversold,stoch_overbought,rank_pre_wf,rank_post_wf,rank_delta
ma_cross,-0.055240157499270026,3.8408329449932785,-1.8343325098538865,4.666131000313306,0.01622533800141972,-0.3863488921197745,-3.875192228771073,-3.456472375495945,0.794681331367734,0.4745891228580958,0.9288729869334754,0.6638934561969025,-0.03875192228771073,-0.03456472375495945,633,611,True,2,58.0,240.0,pct,4.265912425155207,full,pct,True,False,9.902060697582957,none,,,,,,,,,,,,,,,,,,,,,,126,123,-3
ma_cross,-3.4095857045214895,4.446588399432098,-5.720422024454253,8.508796724967905,-0.505839034187589,-1.0481155815479701,-3.4259714798630414,-2.889785744604024,0.5744337119401992,0.27983250744116833,0.8292355994448711,0.5526164889642615,-0.034259714798630415,-0.02889785744604024,864,888,True,87,22.0,205.0,rr,,full,pct,False,False,8.117156165965614,none,4.604747929306899,,,,,,,,,,,,,,,,,,,,,120,117,-3
ma_cross,1.7796929148832907,4.489224805567121,0.04006653479158295,5.206474338135678,0.3135768498596801,0.03395802821066484,-5.31045164465846,-4.413361317812025,1.3354616047162493,0.9477274293741476,1.0248011783303383,0.856612521519184,-0.05310451644658461,-0.04413361317812025,491,473,True,31,80.0,225.0,pct,7.778408208563437,partial_trailing,pct,False,False,8.303179450768555,none,,0.5649629094259517,1.6547172368746095,,,,,,,,,,,,,,,,,,,138,133,-5
ma_cross,-2.4594698147572647,4.65753150274741,-4.561921640178412,7.4835858155759105,-0.40527551609687434,-0.9042721390011235,-3.6765396267407553,-2.804017089753604,0.4736434105161835,0.0705124960062464,0.5912654776080971,0.10069248770154667,-0.03676539626740755,-0.02804017089753604,636,635,True,83,54.0,184.0,rr,,full,pct,False,True,9.97367257892078,grid,3.1262671492893515,,,2.0,1.9485161886903728,2.221219239927572,,,,,,,,,,,,,,,,125,116,-9
ma_cross,-4.885954420487271,5.060962345063546,-4.573487793274433,8.744796174011702,-0.6040650097097982,-0.6792360756704128,-5.254374792799658,-3.8256644639694577,0.5594493407680886,0.5430411459671569,0.5969404631732275,0.6892501538308585,-0.05254374792799658,-0.038256644639694574,801,791,True,23,78.0,91.0,pct,5.788876004724416,full,pct,False,False,8.102619872578591,martingale,,,,,,,1.1046535605154901,4.0,,,,,,,,,,,,,,137,128,-9
ma_cross,-1.310329856624426,5.098907131878564,-2.348294892863656,4.919618382459863,-0.18942711055985806,-0.43821957928380206,-4.629868484145926,-3.8229056452249752,0.6645910317025031,0.4638154865605611,0.6735179471382969,0.6256307870469645,-0.04629868484145926,-0.03822905645224975,557,570,True,19,58.0,224.0,rr,,partial_trailing,pct,False,True,8.694182939829258,none,3.905309240128252,0.3794291976789069,4.930491702947735,,,,,,,,,,,,,,,,,,,131,127,-4
ma_cross,-5.529534578436401,5.64268776824221,-3.6535039726054097,5.979183962157742,-0.9877306994127334,-0.7575603034474888,-3.6661428265917273,-2.6030866930249,0.18990680085993358,0.3889907229330266,0.3144962894322093,0.8023984949911942,-0.03666142826591727,-0.026030866930249,857,850,True,73,55.0,102.0,rr,,partial_trailing,pct,False,True,9.352257271379957,none,7.665969936226549,0.40942306344710233,4.768167673583159,,,,,,,,,,,,,,,,,,,124,112,-12
ma_cross,-0.7227687929887927,6.407163380934709,-2.8526133682935106,7.81114080688589,-0.028540642479720678,-0.31868351410064927,-6.948943927440187,-6.005686562985165,1.2681564770314269,0.8603742254796002,0.7873221439472436,0.7421018992690867,-0.06948943927440186,-0.06005686562985165,557,564,True,64,55.0,241.0,rr,,full,pct,True,True,5.520462109427947,none,2.879301150676824,,,,,,,,,,,,,,,,,,,,,147,146,-1
ma_cross,-7.1065575090712985,7.523132566983214,-4.560049753819218,7.796113713794284,-1.04666110800392,-0.778638485273478,-4.660912034154997,-3.5297734203733495,0.13039461810986738,0.39975478168474743,0.15547710270753384,0.5671568754091972,-0.046609120341549966,-0.03529773420373349,813,782,True,4,55.0,132.0,pct,4.8554827119438695,full,pct,False,True,7.709287776180933,none,,,,,,,,,,,,,,,,,,,,,,132,124,-8
ma_cross,-3.903329426151725,7.706403179321245,-5.723812311111487,10.317245692884464,-0.33935580945606747,-0.6347221234516777,-7.212866583302715,-5.526236256209669,0.8961434081126536,0.5455917440146479,0.6108360290268585,0.48435946205055685,-0.07212866583302716,-0.0552623625620967,622,636,True,30,55.0,188.0,rr,,partial_trailing,pct,False,True,5.120432590266969,none,6.0694495148379115,0.1504531878490826,3.20852557084462,,,,,,,,,,,,,,,,,,,151,140,-11
