strategy,return_train_pct,dd_train_pct,return_test_pct,dd_test_pct,sharpe_train,sharpe_test,median_pnl_per_position_train,median_pnl_per_position_test,avg_pnl_per_position_train,avg_pnl_per_position_test,sharpe_pnl_per_position_train,sharpe_pnl_per_position_test,median_pnl_per_position_train_pct,median_pnl_per_position_test_pct,trades_train,trades_test,eligible,trial,fast_period,slow_period,tp_mode,tp_pct,tp_mgmt,tp1_close_frac,tp_trail_pct,sl_type,sl_trailing,exit_on_flat,sl_pct,pm_mode,tp_rr,martingale_multiplier,martingale_max_steps,rsi_period,rsi_low_th,rsi_high_th,grid_max_adds,grid_spacing_pct,grid_size_multiplier,sl_atr_period,sl_atr_mult,rank_pre_wf,rank_post_wf,rank_delta
rsi_reversion,5.394403747224663,0.19832479605432587,0.14164777193306222,3.537442624240905,3.2324163708892124,0.07149113291148967,50.473477335195795,40.90507964235443,51.658105559609936,9.065964113136529,11.108577004136011,0.3844879106069612,0.504734773351958,0.40905079642354436,12,12,True,447,,,rr,,full,,,atr,False,False,,grid,0.5019566305729979,,,35.0,21.76936946289403,84.39203712408185,3.0,0.47183977805878674,2.2131969678463204,23.0,3.2160462393971967,3,1,-2
rsi_reversion,1.7443756549314626,0.0,-1.840656323306844,2.3801387600231214,3.00012599278936,-1.354850741496529,27.427052425536004,26.629343693485062,27.45896851859611,-8.801700166000021,477.7404804054107,-0.5854292297664013,0.27427052425536,0.26629343693485064,9,11,True,351,,,pct,0.27718603640329753,full,,,pct,False,True,0.8871505665169417,grid,,,,39.0,22.1346051164859,84.92633605937283,1.0,0.5494617764730851,1.3477002004001313,,,8,2,-6
rsi_reversion,4.107154523852707,0.12567295711652077,3.8947757016039475,2.0254771718723865,1.95407034796315,0.7921741113442001,34.936350217531725,12.122548734905301,65.31326990720245,61.43535010671952,3.634672670318763,0.8784871372533586,0.34936350217531725,0.12122548734905302,7,7,True,295,,,pct,8.841607960886753,full,,,pct,False,True,2.4247300906303164,grid,,,,39.0,22.1346051164859,84.92633605937283,8.0,0.2979100139044504,1.3147961401758106,,,6,3,-3
rsi_reversion,4.4112122540997944,0.16753539699671563,5.023845651273451,2.32065286352767,2.7666977017257235,0.8817779328763898,29.885607804268957,11.055851484394378,32.921468875217386,38.92348965008183,5.61197455698795,1.0971319689345558,0.2988560780426896,0.11055851484394377,16,16,True,457,,,pct,8.971486228613307,full,,,atr,False,True,,grid,,,,33.0,21.76936946289403,84.39203712408185,7.0,0.5927429543084243,1.99827167948165,34.0,5.798232052198718,7,4,-3
rsi_reversion,7.6022401920968985,1.2945792347880616,-1.9223890012866618,3.8262605315003007,2.5076232901897897,-1.0130560462441465,44.802446081197544,9.380132321507856,47.120327691219074,-3.616940054216144,3.64561457553551,-0.3451615210889119,0.44802446081197544,0.09380132321507856,19,18,True,335,,,rr,,full,,,pct,False,True,1.1680340385076784,grid,8.325560679027674,,,33.0,22.1346051164859,84.92633605937283,7.0,0.7304850162650767,2.224481582270542,,,4,5,1
rsi_reversion,45.04338215643588,10.556212289333153,11.953604994222488,14.133269080592653,1.9464856828528256,0.7252782879716557,11.770846112717255,8.93362338126239,21.22602018747915,8.143233802548359,2.2951455933342553,1.1470308644655487,0.11770846112717254,0.0893362338126239,238,201,True,214,,,rr,,full,,,pct,False,False,9.91979250163157,martingale,7.936687497545588,3.274373827035542,5.0,12.0,23.32484642715096,80.81420691980657,,,,,,11,6,-5
rsi_reversion,1.8257357561089815,0.09247549721998827,-0.3627753669226186,1.1509090902175558,2.7523838592590124,-0.5041081975153481,13.306377284222943,6.885509730136404,14.107228233638178,1.5024616628085035,7.448357286593122,0.21674717322685105,0.13306377284222942,0.06885509730136403,16,16,True,287,,,pct,2.3693395275442612,full,,,atr,False,True,,grid,,,,33.0,21.76936946289403,84.39203712408185,1.0,2.5940967032002287,1.272139610333226,8.0,5.749914071211865,10,7,-3
rsi_reversion,6.875184555534153,0.21051871725322,-1.9969138450876,3.2927902556712665,2.722866362654811,-1.2059137733615,37.13349779635951,6.319849219546902,49.32444442766153,-6.528157153118264,4.728043471077624,-0.503605886436222,0.37133497796359505,0.06319849219546902,16,16,True,412,,,pct,9.776612124162286,full,,,pct,False,True,1.6957643142047478,grid,,,,33.0,21.76936946289403,84.92633605937283,7.0,0.29283882846536496,2.2095969504119815,,,5,8,3
rsi_reversion,2.137250923867051,0.09690947255616146,0.643061809863954,0.977649722894227,2.8168746608374393,0.48019805244626784,14.134297157824959,3.7956133103986653,16.5142989439952,6.757801978934782,5.855699433202037,0.7057027295416126,0.1413429715782496,0.03795613310398665,15,15,True,399,,,pct,5.540335935004982,partial_trailing,0.45322440109870166,4.444135704653584,pct,True,True,3.574058624265579,martingale,,1.3368141902476345,2.0,33.0,21.76936946289403,87.44816828888347,,,,,,9,9,0
ma_cross,-0.2793678787905818,2.8253231109164094,-1.353558615849726,3.529468109341617,-0.04873293388185697,-0.36987910635939647,-2.7320993786985035,-2.2619477172286926,0.7822025913696643,0.5761905899103716,1.1340780749439598,1.0500712041597393,-0.027320993786985038,-0.022619477172286927,558,559,True,357,61.0,233.0,pct,1.0037381001827224,partial_trailing,0.35545091007233187,4.752806736901484,pct,False,True,9.511010754681806,none,,,,,,,,,,,,12,10,-2
