strategy,return_train_pct,dd_train_pct,return_test_pct,dd_test_pct,tested,sharpe_train,sharpe_test,median_pnl_per_position_train,median_pnl_per_position_test,avg_pnl_per_position_train,avg_pnl_per_position_test,sharpe_pnl_per_position_train,sharpe_pnl_per_position_test,median_pnl_per_position_train_pct,median_pnl_per_position_test_pct,trades_train,trades_test,eligible,trial,martingale_max_loss_streak_train,martingale_max_loss_streak_test,martingale_max_step_used_train,martingale_max_step_used_test,martingale_max_multiplier_used_train,martingale_max_multiplier_used_test,grid_max_adds_used_train,grid_max_adds_used_test,grid_max_multiplier_used_train,grid_max_multiplier_used_test,fast_period,slow_period,tp_mode,tp_rr,tp_mgmt,tp1_close_frac,tp_trail_pct,sl_type,sl_trailing,exit_on_flat,sl_pct,pm_mode,grid_max_adds,grid_spacing_pct,grid_size_multiplier,tp_pct,martingale_multiplier,martingale_max_steps,rank_pre_wf,rank_post_wf,rank_delta
ma_cross,0.07521961258272203,0.9659510280447354,0.7512261445944635,0.8777898905481128,True,0.05102855987341293,0.7734380715291569,-3.3826601469156716,-4.029280482704869,0.9276069068116565,3.7965462136989827,0.5097101318028257,0.8294650092462884,-0.03382660146915672,-0.04029280482704869,83,22,True,186,0,0,0,0,1.0,1.0,0,0,1.0,1.0,48,212,rr,4.411238790695024,partial_trailing,0.7427923876471255,1.6830539045410904,pct,False,False,9.75720985166163,grid,1.0,2.9024942114555103,1.0302982074435492,,,,12,10,-2
ma_cross,0.9640264743723481,1.026923542313601,0.9228112203689687,0.8012626406797311,True,0.5047011995274099,0.867473289550944,-3.6646551024225245,-4.0343574353629545,2.13921333670734,4.341933271996774,1.046814598364506,1.0113088703953386,-0.036646551024225246,-0.04034357435362955,80,24,True,240,0,0,0,0,1.0,1.0,1,1,2.0170489110854537,2.0170489110854537,48,182,rr,2.9433521900702404,full,,,pct,False,False,9.553166278565621,grid,6.0,1.6853444549086323,2.2234414924687043,,,,11,6,-5
ma_cross,1.0966904099439123,1.4870982767663394,0.8399504272750269,1.616598556043251,True,0.394058549205719,0.5215575265063056,-5.496761537982863,-6.925147040576168,2.768196446945666,4.1792937166279085,0.8420251104226256,0.6827982427625716,-0.05496761537982863,-0.06925147040576167,76,25,True,238,0,0,0,0,1.0,1.0,1,1,2.018251207452499,2.0182512074524985,56,173,rr,3.1067525701637813,partial_trailing,0.6150650059919902,0.36217909981619856,pct,False,False,6.41705114168924,grid,6.0,1.8034386435374536,2.7495898678976944,,,,10,8,-2
ma_cross,2.195019027999434,1.6706458461041258,0.810294746678375,1.640183567119059,True,0.679108328461968,0.49920356266861854,-5.2701144748907565,-6.843681103692455,4.511291850080286,4.200610892452017,1.093017910052576,0.6881489224278224,-0.05270114474890756,-0.06843681103692455,76,25,True,62,0,0,0,0,1.0,1.0,2,1,3.8169163299110904,2.0112239487364363,55,174,rr,5.596669484242875,full,,,pct,False,True,6.493627509925631,grid,2.0,1.1209724634140514,1.7658307396723851,,,,9,9,0
ma_cross,3.545994217515269,1.823282246441367,1.0139081771212588,1.0756663167377818,True,1.1595351593647474,0.7476149333025358,-4.351942762792186,-3.691617160584385,4.679155763117417,4.08920547987863,1.4817485239598776,1.0158098271898839,-0.04351942762792186,-0.036916171605843845,101,30,True,127,0,0,0,0,1.0,1.0,2,1,3.6795744558971237,2.011461302823724,29,206,rr,8.27589584073341,full,,,pct,False,True,8.029954962059492,grid,4.0,1.1430107391070565,1.7297492414478506,,,,8,5,-3
ma_cross,4.831199965600619,2.6091834795045425,1.1863308803161,4.6160757753748065,True,0.9821894688561429,0.33199996480372973,-10.036656092629322,-7.3990892947714615,6.819460691335193,5.050877079460181,1.22970986646375,0.4612771962318776,-0.10036656092629322,-0.07399089294771462,104,31,True,99,6,7,6,7,10.110405280851058,14.867227679198862,0,0,1.0,1.0,75,179,pct,,full,,,pct,True,True,7.9712487864956785,martingale,,,,2.1946519634220487,1.4704878059989492,7.0,7,4,-3
ma_cross,5.219216052909625,4.475744911624372,2.5516220678264645,3.9306234167327028,True,0.610395114442353,0.5489611588904727,-16.1430225574561,-10.623176980397638,9.621442996153208,12.657914849647154,1.0246642140561173,0.7781610071168775,-0.161430225574561,-0.10623176980397638,92,24,True,154,6,6,6,6,2.782871350328249,2.782871350328249,0,0,1.0,1.0,75,117,rr,5.104394634135773,full,,,pct,False,False,2.9233644227154123,martingale,,,,,1.1859931708432725,8.0,6,1,-5
ma_cross,8.96871793987608,4.756609861822592,2.392981059859167,1.9251817340686843,False,1.0250950274722705,0.954687808016066,-9.7399982569803,-5.6828045553299615,19.110077337534676,20.527908503654405,1.3723684711585458,1.1544114411248636,-0.097399982569803,-0.05682804555329962,57,12,True,144,9,2,5,2,5.373451702934833,1.9593018109923608,0,0,1.0,1.0,63,247,rr,5.191871200719685,partial_trailing,0.26687849084376786,0.31194218723888445,pct,False,False,5.158387873440059,martingale,,,,,1.399750624572949,5.0,5,2,-3
ma_cross,14.123419877634324,4.76479580307119,0.8699874842321265,4.762542188913878,True,1.262622463661932,0.19985157380025237,-9.182346257742337,-6.671727060660254,18.632545156587415,3.3144257637863257,1.4927395710601536,0.279889936467018,-0.09182346257742337,-0.06671727060660254,95,26,True,84,6,6,5,6,19.729146432857068,35.82036075959396,0,0,1.0,1.0,64,129,rr,5.6993635815608,full,,,pct,True,True,7.65434538798572,martingale,,,,,1.8156062088899327,8.0,4,7,3
ma_cross,14.136739518689145,6.229890857922012,-1.9843491978838057,5.863998174726331,True,1.0234166125095483,-0.335263144370836,-15.449048384746494,-9.181447495716213,23.970480709234657,-6.274732332556734,1.3360313614342054,-0.43488476675688514,-0.15449048384746494,-0.09181447495716213,75,22,True,241,7,8,7,7,2468.9701784846393,2468.9701784846393,0,0,1.0,1.0,58,209,rr,2.4864817056029365,full,,,pct,True,True,6.502219804783993,martingale,,,,,3.052425834690122,7.0,3,12,9
