strategy,return_train_pct,dd_train_pct,return_test_pct,dd_test_pct,sharpe_train,sharpe_test,median_pnl_per_position_train,median_pnl_per_position_test,avg_pnl_per_position_train,avg_pnl_per_position_test,sharpe_pnl_per_position_train,sharpe_pnl_per_position_test,median_pnl_per_position_train_pct,median_pnl_per_position_test_pct,trades_train,trades_test,eligible,trial,stoch_k_period,stoch_d_period,stoch_oversold,stoch_overbought,tp_mode,tp_rr,tp_mgmt,sl_type,sl_trailing,exit_on_flat,sl_pct,pm_mode,martingale_multiplier,martingale_max_steps,tp_pct,tp1_close_frac,tp_trail_pct,grid_max_adds,grid_spacing_pct,grid_size_multiplier,sl_atr_period,sl_atr_mult,rank_pre_wf,rank_post_wf,rank_delta
stochastic,0.009738781162771382,0.0,0.0195598201689684,0.04879868971944777,1.000003260105921,0.2548401003206037,8.977469103919915,8.978383798514052,8.977469103919915,8.978383798514052,0.0,383609.19995443133,0.08977469103919916,0.08978383798514052,1,2,False,910,5,14,12.872455892845913,91.90241809222587,rr,0.8968487166055699,full,pct,True,False,0.10568051027540268,martingale,1.6062802140360921,7.0,,,,,,,,,,,
stochastic,0.0458630622664824,0.0037581874069760293,0.0,0.0,0.921628617833564,0.0,5.447684266960034,0.0,5.447684266960034,0.0,0.0,0.0,0.054476842669600345,0.0,1,0,False,1693,9,14,7.682330069367786,94.71578619238059,rr,5.118749072643763,full,pct,False,True,9.31099816333934,martingale,2.9758786703677806,5.0,,,,,,,,,,,
stochastic,0.05707319821244283,0.00467622012434972,0.0,0.0,0.9216384091187245,0.0,6.779241258694586,0.0,6.779241258694586,0.0,0.0,0.0,0.06779241258694585,0.0,1,0,False,1653,9,14,7.682330069367786,94.71578619238059,pct,,partial_trailing,pct,False,True,7.482161538219812,martingale,3.070200839890366,7.0,4.8963981110827195,0.505842305167237,2.8354007565386983,,,,,,,,
stochastic,0.058441332155578785,0.004788245607505601,0.0,0.0,0.921639603922923,0.0,6.941750288593509,0.0,6.941750288593509,0.0,0.0,0.0,0.0694175028859351,0.0,1,0,False,1472,9,14,7.682330069367786,94.71578619238059,pct,,partial_trailing,pct,False,True,7.3070012742268675,grid,,,5.345350033034378,0.10170287098649773,0.232196676382934,4.0,2.8291073194607286,1.9895383976170107,,,,,
stochastic,0.05901101966887534,0.004834891757909106,0.0,0.0,0.9216401014256106,0.0,7.009418637585389,0.0,7.009418637585389,0.0,0.0,0.0,0.07009418637585389,0.0,1,0,False,1266,9,14,7.682330069367786,94.71578619238059,rr,4.05930803262597,partial_trailing,pct,False,True,7.236460087022385,grid,,,,0.1630878875809442,2.155160093355016,8.0,2.991311488130115,2.844650932674175,,,,,
stochastic,0.08151479305045228,0.006677046521018843,0.0,0.0,0.9216597487285271,0.0,9.682451054951832,0.0,9.682451054951832,0.0,0.0,0.0,0.09682451054951832,0.0,1,0,False,1827,9,14,7.682330069367786,94.71578619238059,rr,0.8803536589117151,full,pct,False,True,5.238691929991877,grid,,,,,,1.0,2.4110516980759664,1.467424163820866,,,,,
stochastic,0.08229403981718786,0.006740819463144993,0.0,0.0,0.9216604288872788,0.0,9.775011170684389,0.0,9.775011170684389,0.0,0.0,0.0,0.09775011170684389,0.0,1,0,False,1931,9,14,7.682330069367786,94.71578619238059,pct,,partial_trailing,pct,False,True,5.189086469408726,martingale,2.6062811328558824,9.0,8.90864798811256,0.4022359841928681,0.0821304328308661,,,,,,,,
stochastic,0.09033341449724563,0.007398692843509473,0.0,0.0,0.9216674452998244,0.0,10.729940318381159,0.0,10.729940318381159,0.0,0.0,0.0,0.10729940318381159,0.0,1,0,False,1180,9,14,7.682330069367786,94.71578619238059,rr,4.292291602692298,partial_trailing,pct,False,True,4.72727496137371,grid,,,,0.8032946460497318,4.726423510342481,5.0,0.542750140971622,2.982337252273953,,,,,
stochastic,0.09415386873894427,0.007711285931223182,-0.00736076454046497,0.009937614668940992,0.9216707791855973,-0.7169593122823136,11.183739681889037,1.0273919013149109,11.183739681889037,1.0273919013149109,0.0,0.0,0.11183739681889036,0.010273919013149108,1,1,False,1906,9,14,7.682330069367786,92.19498719443125,rr,2.9700643396560453,partial_trailing,pct,False,True,4.535457695448599,martingale,3.3235851214230108,10.0,,0.8164253583751587,0.6251500303225396,,,,,,,,
stochastic,0.10307291470270652,0.008440950015259943,0.0,0.0,0.9216785612120125,0.0,12.243157522125593,0.0,12.243157522125593,0.0,0.0,0.0,0.12243157522125593,0.0,1,0,False,1973,9,14,7.682330069367786,94.71578619238059,pct,,full,pct,False,True,4.142998087907569,grid,,,5.829449101416159,,,1.0,2.2240314077567946,2.8100222123309084,,,,,
stochastic,0.10648794677143858,0.008720295373270143,0.0,0.0,0.9216815404806172,0.0,12.648800223521514,0.0,12.648800223521514,0.0,0.0,0.0,0.12648800223521514,0.0,1,0,False,1519,9,14,7.682330069367786,94.71578619238059,pct,,full,pct,False,True,4.010133554785148,grid,,,3.92094437120705,,,5.0,0.08073441491882759,1.6803246992539713,,,,,
stochastic,0.11079181224433743,0.009072316826511613,0.0,0.0,0.9216852948445254,0.0,13.160019908057963,0.0,13.160019908057963,0.0,0.0,0.0,0.13160019908057963,0.0,1,0,False,1375,9,14,7.682330069367786,94.71578619238059,rr,8.287502925856222,partial_trailing,pct,False,True,3.8543542151527648,grid,,,,0.16364822894186792,1.4282284637007667,3.0,0.5468132220867603,1.8262341420534811,,,,,
