strategy,return_train_pct,dd_train_pct,return_test_pct,dd_test_pct,sharpe_train,sharpe_test,median_pnl_per_position_train,median_pnl_per_position_test,avg_pnl_per_position_train,avg_pnl_per_position_test,sharpe_pnl_per_position_train,sharpe_pnl_per_position_test,median_pnl_per_position_train_pct,median_pnl_per_position_test_pct,trades_train,trades_test,eligible,trial,stoch_k_period,stoch_d_period,stoch_oversold,stoch_overbought,tp_mode,tp_rr,tp_mgmt,sl_type,sl_trailing,exit_on_flat,sl_pct,pm_mode,martingale_multiplier,martingale_max_steps,tp_pct,tp1_close_frac,tp_trail_pct,grid_max_adds,grid_spacing_pct,grid_size_multiplier,sl_atr_period,sl_atr_mult,rank_pre_wf,rank_post_wf,rank_delta
stochastic,138.3414015671622,16.26259688942715,-2.8121251155828197,15.26323552662844,2.4266278135369994,-0.12984087818211532,26.426502054081052,4.813866159419545,72.35959287338862,0.23249030327130715,2.4479372078920316,0.017952795565523663,0.2642650205408105,0.04813866159419545,207,120,True,617,34,8,26.50540476027567,92.19498719443125,rr,2.6218839787595214,partial_trailing,pct,False,False,8.984132310601861,grid,,,,0.2126593053004509,2.768656823000717,3.0,1.5430380072390426,2.629860403226459,,,1,1,0
stochastic,87.48195978550048,13.536140581968356,-6.358986398781852,12.341810805620971,2.542100185911566,-0.5506901093763367,6.683095814867709,2.7930381288839072,11.170913831717485,-0.4056699707127825,4.5940987590637565,-0.1290608266141716,0.0668309581486771,0.02793038128883907,982,367,True,829,31,3,23.063906285887306,91.90241809222587,rr,9.851443749830878,partial_trailing,pct,False,False,9.216334637911986,grid,,,,0.7711184691567473,0.6670802719561709,7.0,1.5805722685219128,2.1825508714898585,,,2,2,0
stochastic,15.725830784914674,3.895639374833205,-1.6447591312037213,5.0156718220489545,1.9842305845459698,-0.5031951965464829,4.371497980479747,2.633499777767438,9.278131399839083,-0.1583023243722759,2.1019946463701986,-0.04792284354851395,0.043714979804797466,0.026334997777674382,192,95,True,1020,9,5,26.50540476027567,92.19498719443125,rr,8.943997112066645,partial_trailing,pct,False,False,8.278923479836957,none,,,,0.3251771970660484,1.734344451019479,,,,,,5,3,-2
stochastic,11.070729389908585,3.0704627785112844,-1.9008747705389406,2.903881859813063,1.8777438682394711,-0.7106394671639804,6.276024121418073,2.5130768777450276,5.582284492390057,-0.5304137128443827,2.277513157527674,-0.2424766886548184,0.06276024121418074,0.025130768777450276,240,118,True,1770,25,6,12.872455892845913,92.19498719443125,rr,4.768815756644091,full,pct,False,False,9.638835959027194,none,,,,,,,,,,,3,4,1
stochastic,48.43988435593598,9.004383863326108,-1.373296860730766,9.193921834926309,2.359479097375637,-0.1657143990297292,5.351349438671007,2.4353696523971884,27.444257115018182,0.7208849558012562,1.94229972679207,0.12616055833527617,0.053513494386710075,0.024353696523971884,195,107,True,358,28,8,33.05707392349147,92.19498719443125,rr,2.7863117454700914,partial_trailing,pct,False,False,9.141795318091365,martingale,1.9221956246434382,7.0,,0.8824108410893808,1.0334004880921657,,,,,,4,5,1
stochastic,14.752932435994559,3.6566163849022386,-1.5669083769207504,4.594060614217562,2.046918457574462,-0.5307834723354922,1.8970205971668812,2.2946383651921947,12.336571048410864,-1.1916065321053466,2.0147106368573198,-0.32597116840587026,0.018970205971668812,0.022946383651921948,130,74,True,1043,6,5,26.50540476027567,92.19498719443125,rr,8.838778681345172,full,pct,False,False,9.19486012338021,none,,,,,,,,,,,7,6,-1
stochastic,11.763881508055452,3.161397096245456,-4.875749912194549,5.6829584677657285,1.8130376190022677,-1.8217290874521634,3.454464282468165,1.8130600223837863,2.7408355485894282,-0.9147008680013968,2.493813705933578,-0.9118674020759431,0.03454464282468165,0.01813060022383786,636,262,True,998,35,4,33.05707392349147,92.19498719443125,rr,5.247095872026448,partial_trailing,pct,False,False,9.57696465522272,none,,,,0.544439704277842,4.544883699133081,,,,,,6,7,1
