strategy,return_train_pct,dd_train_pct,return_test_pct,dd_test_pct,trades_train,trades_test,eligible,trial,seconds,fast_period,slow_period,tp_mode,tp_pct,tp_mgmt,tp1_close_frac,tp_trail_pct,sl_type,sl_trailing,exit_on_flat,sl_pct,pm_mode,rsi_period,rsi_low_th,rsi_high_th,martingale_multiplier,martingale_max_steps,bb_period,bb_std,tp_rr,stoch_k_period,stoch_d_period,stoch_oversold,stoch_overbought,sl_atr_period,sl_atr_mult
stochastic,3.3550166574910945,2.5105864963121918,2.846539606462728,3.9961785038091646,7,2,True,84,8.026150465011597,,,pct,7.380346760170145,full,,,atr,False,False,,martingale,,,,3.243321155786143,9.0,,,,7.0,14.0,15.837068792666482,77.58937379699901,16.0,1.595453195907154
bollinger_breakout,3.243688177649573,2.2274736612810897,1.4168652668947734,2.227575625438328,19,9,True,255,32.8161199092865,,,rr,,partial_trailing,0.7161547434964842,1.135170793083006,pct,False,False,0.2179459664213023,none,,,,,,80.0,3.6101082557269564,9.287670508153091,,,,,,
rsi_reversion,0.6488397172176974,0.8403423183020737,0.7415707386538184,0.7300163327244523,2,0,True,248,33.03004789352417,,,pct,9.749850350775802,partial_trailing,0.8881978433855311,0.3130798375851645,pct,True,False,5.7111091048928735,martingale,24.0,12.60918547325597,78.33825932491791,1.5794740485691028,7.0,,,,,,,,,
ma_cross,0.35017070458902566,0.3622263153431811,0.2021901013612215,0.24767788827943135,17,9,True,226,36.619295835494995,78.0,148.0,pct,1.2605593000333268,partial_trailing,0.7999694453953008,3.174870914800768,pct,False,True,9.654792149809445,none,,,,,,,,,,,,,,
