strategy,return_train_pct,dd_train_pct,return_test_pct,dd_test_pct,sharpe_train,sharpe_test,median_pnl_per_position_train,median_pnl_per_position_test,avg_pnl_per_position_train,avg_pnl_per_position_test,sharpe_pnl_per_position_train,sharpe_pnl_per_position_test,median_pnl_per_position_train_pct,median_pnl_per_position_test_pct,trades_train,trades_test,eligible,trial,fast_period,slow_period,tp_mode,tp_pct,tp_mgmt,tp1_close_frac,tp_trail_pct,sl_type,sl_trailing,exit_on_flat,sl_pct,pm_mode,martingale_multiplier,martingale_max_steps,tp_rr,rsi_period,rsi_low_th,rsi_high_th,sl_atr_period,sl_atr_mult,grid_max_adds,grid_spacing_pct,grid_size_multiplier,bb_period,bb_std,range_lookback,range_buffer_pct,stoch_k_period,stoch_d_period,stoch_oversold,stoch_overbought,rank_pre_wf,rank_post_wf,rank_delta
ma_cross,0.8416991520310724,2.920304374859605,-1.498729723892267,4.152160590239957,0.18181589690024572,-0.30511530865616643,-4.323665924056586,-3.606649307960333,1.0032581577159105,0.5643072034201435,1.091010837241743,0.7364486185504379,-0.04323665924056586,-0.03606649307960333,602,586,True,754,80.0,152.0,pct,8.767641804729578,partial_trailing,0.7224953404019044,4.070908332358599,pct,False,True,9.374763874097225,none,,,,,,,,,,,,,,,,,,,,14,7,-7
ma_cross,1.4066781959614305,2.9397913892045575,-1.3119413075531883,4.587052272239968,0.27949179224998244,-0.25296843770362126,-4.283298188526121,-4.025432204161821,1.1688721724629247,0.6274007042461346,1.1437862258001108,0.7374311860199932,-0.04283298188526121,-0.04025432204161821,545,537,True,709,80.0,186.0,pct,6.7659928068745145,partial_trailing,0.8228894859125153,3.8881502826828926,pct,False,True,8.814395108513738,none,,,,,,,,,,,,,,,,,,,,13,9,-4
ma_cross,2.6574447869117,3.0582162130418444,-0.1236681389367722,3.1111740319634134,0.6132413045768378,-0.012340323750505857,-3.9517639386356818,-3.9496870622056566,1.4418942585274528,0.8296208402446225,1.5605152350575286,1.055947459895609,-0.039517639386356815,-0.03949687062205656,473,464,True,370,77.0,242.0,pct,2.336396723070528,partial_trailing,0.47911685666818105,4.5782212002987155,pct,False,True,9.098079437326724,none,,,,,,,,,,,,,,,,,,,,12,8,-4
ma_cross,3.248641369662364,3.446199509007049,-0.949057421252697,5.042034044691878,0.5379109358777568,-0.14773438991649332,-4.84771477144348,-4.120017953577864,1.6508524761952024,0.8115335417572191,1.397478095566908,0.8870253394831561,-0.048477147714434794,-0.04120017953577863,535,545,True,469,74.0,202.0,pct,6.172810439764319,partial_trailing,0.4345944290324951,4.667005992602365,pct,False,False,8.674032506054044,martingale,1.1607857417601641,1.0,,,,,,,,,,,,,,,,,,15,10,-5
ma_cross,3.9624473285156725,4.451042236209706,-2.530542052389051,5.294505946497317,0.598258923507375,-0.40944758345736504,-5.602611837658694,-5.018570827771709,1.901255948860242,0.4599315443446442,1.3005635933294963,0.36155735076569295,-0.05602611837658694,-0.050185708277717095,467,460,True,833,80.0,245.0,pct,7.916162263811787,partial_trailing,0.8587169289058454,0.858231955271618,pct,False,True,7.5969400210786056,none,,,,,,,,,,,,,,,,,,,,16,11,-5
ma_cross,4.128264515433422,4.677181179174028,-0.6897329916601636,5.553416126097693,0.5943028415492765,-0.08134630820802147,-6.214345071743659,-5.112060110794264,2.0519504838317406,0.9162798886349435,1.2949663802533975,0.7698458641799757,-0.06214345071743659,-0.051120601107942636,439,449,True,616,77.0,245.0,rr,,full,,,pct,False,True,7.216293190645783,none,,,4.6787083555017706,,,,,,,,,,,,,,,,,17,12,-5
ma_cross,4.816972533692887,6.013581229433185,-2.427697510061133,8.472198670724776,0.5205471649732225,-0.24530612437463428,-8.395969512881909,-7.079973692764952,2.6024790570361964,0.9356387246083956,1.2534301440425624,0.5928694672717622,-0.08395969512881908,-0.07079973692764951,453,457,True,924,74.0,245.0,rr,,full,,,pct,False,True,5.215721293325314,none,,,7.766508548377952,,,,,,,,,,,,,,,,,19,15,-4
ma_cross,8.336517282986545,6.231536602281547,-2.043964595341752,8.9691351645008,0.8179076684547874,-0.18612336061074816,-6.266111659031307,-5.28516966394623,3.1173371927916076,0.9848461591219471,1.6281830716461556,0.7288969839651498,-0.06266111659031308,-0.0528516966394623,513,524,True,757,80.0,189.0,rr,,full,,,pct,False,True,8.815656201270984,martingale,1.2181608421571706,6.0,7.672159421128136,,,,,,,,,,,,,,,,,18,13,-5
ma_cross,18.858796075173622,10.287905461899424,6.988402335419308,15.673335715052502,0.9926000156123245,0.48991833720222233,-11.508193455716402,-8.29159783507941,5.613873089996717,4.162400837317102,2.14903169569664,1.7386308089998672,-0.11508193455716403,-0.08291597835079409,811,726,True,543,61.0,250.0,pct,2.0879152641050553,full,,,pct,False,True,7.571533039796031,martingale,1.749072546395542,7.0,,,,,,,,,,,,,,,,,,22,16,-6
ma_cross,25.68295012252495,10.840047184641666,16.468837901639354,12.001668342544956,1.1155468259730181,0.8666877584681423,-9.228200922432997,-9.437873132828097,9.231200699745827,7.516464807277492,1.8697259516467781,1.6578908616662673,-0.09228200922432997,-0.09437873132828097,494,476,True,186,80.0,230.0,rr,,partial_trailing,0.5939608610011673,4.058577272226305,pct,False,True,9.286834330389546,martingale,2.4785228023377694,8.0,0.2868859153614726,,,,,,,,,,,,,,,,,20,17,-3
