strategy,return_train_pct,dd_train_pct,return_test_pct,dd_test_pct,sharpe_train,sharpe_test,median_pnl_per_position_train,median_pnl_per_position_test,avg_pnl_per_position_train,avg_pnl_per_position_test,sharpe_pnl_per_position_train,sharpe_pnl_per_position_test,median_pnl_per_position_train_pct,median_pnl_per_position_test_pct,trades_train,trades_test,eligible,trial,fast_period,slow_period,tp_mode,tp_pct,tp_mgmt,tp1_close_frac,tp_trail_pct,sl_type,sl_trailing,exit_on_flat,sl_pct,pm_mode,martingale_multiplier,martingale_max_steps,tp_rr,rsi_period,rsi_low_th,rsi_high_th,sl_atr_period,sl_atr_mult,grid_max_adds,grid_spacing_pct,grid_size_multiplier,bb_period,bb_std,range_lookback,range_buffer_pct,stoch_k_period,stoch_d_period,stoch_oversold,stoch_overbought,rank_pre_wf,rank_post_wf,rank_delta
ma_cross,0.8416991520310724,2.920304374859605,-1.498729723892267,4.152160590239957,0.18181589690024572,-0.30511530865616643,-4.323665924056586,-3.606649307960333,1.0032581577159105,0.5643072034201435,1.091010837241743,0.7364486185504379,-0.04323665924056586,-0.03606649307960333,602,586,True,754,80.0,152.0,pct,8.767641804729578,partial_trailing,0.7224953404019044,4.070908332358599,pct,False,True,9.374763874097225,none,,,,,,,,,,,,,,,,,,,,14,7,-7
range_breakout,9.368843382175186,2.3878161621330958,-0.38112644373031745,8.267735371632245,1.9239065432023603,-0.07658923269534483,41.93362092644863,35.44517134790563,14.515554268347291,0.42516935494557223,2.0872836905655445,0.048362184644518025,0.41933620926448634,0.3544517134790563,71,48,True,581,,,pct,2.973568588032741,partial_trailing,0.6943029373339521,2.253642849290238,pct,False,False,6.3740385274397156,none,,,,,,,,,,,,,,204.0,0.495877675233975,,,,,5,1,-4
rsi_reversion,13.651443011653042,5.125107352689895,-3.431684614954611,7.213620308529086,1.630744883583642,-0.47330866573693026,13.326360094780451,8.247592324130858,17.920756415407496,-2.787050136786478,1.6371373585982816,-0.31673371148995305,0.1332636009478045,0.08247592324130859,86,74,True,608,,,rr,,full,,,pct,False,False,6.448112279830302,none,,,2.0944947099014364,35.0,39.71287017107015,74.45350489169522,,,,,,,,,,,,,,7,3,-4
