strategy,return_train_pct,dd_train_pct,dd_train_intrabar_pct,exec_reject_rate_train,exec_round_rate_train,return_test_pct,dd_test_pct,dd_test_intrabar_pct,exec_reject_rate_test,exec_round_rate_test,tested,liquidated_train,liquidated_test,peak_notional_pct_equity_train,peak_notional_pct_equity_test,peak_qty_mult_train,peak_qty_mult_test,cap_hit_rate_train,cap_hit_rate_test,sharpe_train,sharpe_test,median_pnl_per_position_train,median_pnl_per_position_test,avg_pnl_per_position_train,avg_pnl_per_position_test,sharpe_pnl_per_position_train,sharpe_pnl_per_position_test,median_pnl_per_position_train_pct,median_pnl_per_position_test_pct,trades_train,trades_test,eligible,trial,fast_period,slow_period,tp_mode,tp_rr,tp_mgmt,tp1_close_frac,tp_trail_pct,sl_type,sl_trailing,exit_on_flat,sl_pct,sl_atr_period,sl_atr_mult,rsi_period,rsi_low_th,rsi_high_th,bb_period,bb_std,range_lookback,range_buffer_pct,stoch_k_period,stoch_d_period,stoch_oversold,stoch_overbought,rank_pre_wf,rank_post_wf,rank_delta
bollinger_breakout,0.8503905173338211,4.027854572405858,3.999303716055073,0.0,1.0,1.536190945637439,1.528616960054638,1.5014962009446629,0.0,1.0,True,False,False,11.760363031164477,11.214065980753599,1.0,1.0,0.0,0.0,0.2174010837591354,0.6704756990758662,-5.844464100000173,10.27711284080986,3.349834515077556,8.769484690028484,0.43146839238758955,0.9005035051163554,-0.05844464100000173,0.10277112840809859,51,16,True,139,,,rr,2.0,partial_trailing,0.6959657004257837,0.5728051716927842,pct,True,False,9.695629487927453,,,,,,14.0,3.2398905033042444,,,,,,,2,1,-1
ma_cross,1.2038064672471593,3.9531403919763757,3.9385380745623504,0.0,1.0,0.5246434905496145,2.300511729275906,2.291545306825303,0.0,1.0,True,False,False,11.885399456333138,10.741131676403032,1.0,1.0,0.0,0.0,0.22272486747177844,0.20183953549790853,-4.266018797500147,-2.872964520000009,0.951871334017376,0.99609263822718,1.0440883579022038,0.8791892880258052,-0.04266018797500147,-0.028729645200000088,670,220,True,97,78.0,250.0,rr,2.0,partial_trailing,0.6792871182765114,1.7363005966924814,pct,False,False,9.705298531152259,,,,,,,,,,,,,,1,2,1
rsi_reversion,0.016727013507589206,0.019092011457614716,0.04699201145760525,0.0,1.0,-0.008423743345375989,0.051407512025325564,0.059866512025328125,0.0,1.0,True,False,False,9.674326160457769,9.616433597512733,1.0,1.0,0.0,0.0,0.37952312061399107,-0.13753279490681003,2.4418556999998255,-0.0730638150001323,2.4418556999998255,-0.0730638150001323,0.0,0.0,0.024418556999998255,-0.000730638150001323,1,1,True,183,,,rr,2.0,full,,,pct,True,True,9.973988743450036,,,35.0,13.667863652945442,86.05517070811761,,,,,,,,,3,3,0
