strategy,return_train_pct,dd_train_pct,dd_train_intrabar_pct,exec_reject_rate_train,exec_round_rate_train,return_test_pct,dd_test_pct,dd_test_intrabar_pct,exec_reject_rate_test,exec_round_rate_test,tested,liquidated_train,liquidated_test,peak_notional_pct_equity_train,peak_notional_pct_equity_test,peak_qty_mult_train,peak_qty_mult_test,cap_hit_rate_train,cap_hit_rate_test,sharpe_train,sharpe_test,median_pnl_per_position_train,median_pnl_per_position_test,avg_pnl_per_position_train,avg_pnl_per_position_test,sharpe_pnl_per_position_train,sharpe_pnl_per_position_test,median_pnl_per_position_train_pct,median_pnl_per_position_test_pct,trades_train,trades_test,eligible,trial,martingale_max_loss_streak_train,martingale_max_loss_streak_test,martingale_max_step_used_train,martingale_max_step_used_test,martingale_max_multiplier_used_train,martingale_max_multiplier_used_test,grid_max_adds_used_train,grid_max_adds_used_test,grid_max_multiplier_used_train,grid_max_multiplier_used_test,fast_period,slow_period,tp_mode,tp_rr,tp_mgmt,tp1_close_frac,tp_trail_pct,sl_type,sl_trailing,exit_on_flat,sl_pct,sl_atr_period,sl_atr_mult,rsi_period,rsi_low_th,rsi_high_th,bb_period,bb_std,range_lookback,range_buffer_pct,stoch_k_period,stoch_d_period,stoch_oversold,stoch_overbought,rank_pre_wf,rank_post_wf,rank_delta
rsi_reversion,0.0,0.0,0.0,0.0,0.0,,,,,,False,False,False,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0,0,True,207,0,0,0,0,1.0,1.0,0,0,1.0,1.0,,,rr,2.0,partial_trailing,0.8255196329264164,4.895730010056069,pct,False,True,2.844288745151279,,,35.0,11.1580682869269,89.57704749875128,,,,,,,,,4,,
rsi_reversion,0.0,0.0,0.0,0.0,0.0,,,,,,False,False,False,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0,0,True,209,0,0,0,0,1.0,1.0,0,0,1.0,1.0,,,rr,2.0,full,,,pct,True,True,7.739951863902145,,,40.0,13.334963154640196,85.34784884637766,,,,,,,,,4,,
rsi_reversion,0.0,0.0,0.0,0.0,0.0,,,,,,False,False,False,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0,0,True,257,0,0,0,0,1.0,1.0,0,0,1.0,1.0,,,rr,2.0,full,,,pct,True,True,2.6172552008339793,,,40.0,13.667863652945442,86.05517070811761,,,,,,,,,4,,
rsi_reversion,0.0,0.0,0.0,0.0,0.0,,,,,,False,False,False,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0,0,True,285,0,0,0,0,1.0,1.0,0,0,1.0,1.0,,,rr,2.0,partial_trailing,0.170117590007151,2.0568001371098785,pct,False,True,3.7680699380202913,,,35.0,13.334963154640196,89.91239245808569,,,,,,,,,4,,
rsi_reversion,0.0,0.0,0.0,0.0,0.0,,,,,,False,False,False,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0,0,True,286,0,0,0,0,1.0,1.0,0,0,1.0,1.0,,,rr,2.0,partial_trailing,0.7148202507190665,4.909577833650186,atr,False,True,,33.0,2.105971732751345,40.0,13.667863652945442,86.05517070811761,,,,,,,,,4,,
rsi_reversion,0.016727013507589206,0.019092011457614716,0.04699201145760525,0.0,1.0,-0.008423743345375989,0.051407512025325564,0.059866512025328125,0.0,1.0,True,False,False,9.674326160457769,9.616433597512733,1.0,1.0,0.0,0.0,0.37952312061399107,-0.13753279490681003,2.4418556999998255,-0.0730638150001323,2.4418556999998255,-0.0730638150001323,0.0,0.0,0.024418556999998255,-0.000730638150001323,1,1,True,183,0,0,0,0,1.0,1.0,0,0,1.0,1.0,,,rr,2.0,full,,,pct,True,True,9.973988743450036,,,35.0,13.667863652945442,86.05517070811761,,,,,,,,,3,3,0
bollinger_breakout,0.0,0.0,0.0,0.0,0.0,,,,,,False,False,False,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0,0,True,3,0,0,0,0,1.0,1.0,0,0,1.0,1.0,,,rr,2.0,partial_trailing,0.7336274085243435,1.6561294575172327,pct,False,True,4.50509485945063,,,,,,11.0,3.728933167950646,,,,,,,4,,
bollinger_breakout,0.0,0.0,0.0,0.0,0.0,,,,,,False,False,False,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0,0,True,11,0,0,0,0,1.0,1.0,0,0,1.0,1.0,,,rr,2.0,partial_trailing,0.352877176814567,0.42948036498241393,atr,False,False,,42.0,0.9537502733343548,,,,14.0,3.6666216022480005,,,,,,,4,,
bollinger_breakout,0.0,0.0,0.0,0.0,0.0,,,,,,False,False,False,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0,0,True,39,0,0,0,0,1.0,1.0,0,0,1.0,1.0,,,rr,2.0,full,,,atr,True,False,,43.0,1.253893660611584,,,,10.0,3.069553456263406,,,,,,,4,,
bollinger_breakout,0.0,0.0,0.0,0.0,0.0,,,,,,False,False,False,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0,0,True,49,0,0,0,0,1.0,1.0,0,0,1.0,1.0,,,rr,2.0,full,,,pct,True,True,8.80258025942794,,,,,,14.0,3.700515589944219,,,,,,,4,,
