strategy,return_train_pct,dd_train_pct,return_test_pct,dd_test_pct,sharpe_train,sharpe_test,median_pnl_per_position_train,median_pnl_per_position_test,avg_pnl_per_position_train,avg_pnl_per_position_test,sharpe_pnl_per_position_train,sharpe_pnl_per_position_test,median_pnl_per_position_train_pct,median_pnl_per_position_test_pct,trades_train,trades_test,eligible,trial,martingale_max_loss_streak_train,martingale_max_loss_streak_test,martingale_max_step_used_train,martingale_max_step_used_test,martingale_max_multiplier_used_train,martingale_max_multiplier_used_test,grid_max_adds_used_train,grid_max_adds_used_test,grid_max_multiplier_used_train,grid_max_multiplier_used_test,rsi_period,rsi_low_th,rsi_high_th,tp_mode,tp_pct,tp_mgmt,sl_type,sl_trailing,exit_on_flat,sl_pct,pm_mode,grid_max_adds,grid_spacing_pct,grid_size_multiplier,tp_rr,sl_atr_period,sl_atr_mult,martingale_multiplier,martingale_max_steps,tp1_close_frac,tp_trail_pct,rank_pre_wf,rank_post_wf,rank_delta
rsi_reversion,0.0,0.0,13.639845750424273,4.348540327192723,0.0,1.4418641040327649,0.0,690.805205381932,0.0,690.805205381932,0.0,4.126852162956422,0.0,6.908052053819319,0,2,True,629,0,0,0,0,1.0,1.0,0,4,1.0,4.381606993289301,38,17.212864781965564,87.44816828888347,pct,9.205930302228012,full,pct,True,False,4.182532885578902,grid,6.0,1.1707538371841464,2.3792707486359035,,,,,,,,107,1,-106
rsi_reversion,0.376006950126051,1.4352701504140406,5.011001877636634,1.8130504821036717,0.2639540873462601,1.0660359585929131,22.16518463582382,257.75251044142146,22.16518463582382,257.75251044142146,0.25589383398562227,0.8226199581175094,0.2216518463582382,2.5775251044142147,2,2,True,613,0,0,0,0,1.0,1.0,0,2,1.0,4.793189263081432,38,18.725228020210622,83.90138879240219,rr,,full,atr,False,False,,grid,2.0,1.0697184858053965,2.7935768198120234,1.4630212747243625,12.0,4.024811096417681,,,,,68,8,-60
rsi_reversion,-2.8265843796706935,11.965764563537226,12.869446330119128,4.125334369522769,-0.2382261434661633,1.9192678541236565,56.90341541725199,651.196022178037,-65.30664199838884,651.196022178037,-0.34852087237026563,9.47245492040971,0.5690341541725199,6.511960221780369,4,2,True,313,0,0,0,0,1.0,1.0,6,6,7.033711560777131,7.033711560777135,25,14.932347874116694,89.68245559929932,pct,6.985664894299693,full,pct,True,False,6.81968778660985,grid,6.0,0.5251833457509926,1.0658834896913316,,,,,,,,173,2,-171
rsi_reversion,1.098567194495037,0.7255725675044223,9.780494249671756,2.5702788578427507,1.194348903425427,1.8470709287610076,111.06839173187231,494.41844435979635,111.06839173187231,494.41844435979635,0.0,60.63356463747012,1.110683917318723,4.944184443597964,1,2,True,1001,0,0,0,0,1.0,1.0,0,3,1.0,4.402966777893499,38,18.83670951385629,87.44816828888347,rr,,full,pct,True,False,6.8537457940598,grid,3.0,0.7923672187498149,1.1118511497053258,1.111469018848213,,,,,,,40,3,-37
rsi_reversion,0.16840936127484607,0.006304830141748596,3.4835714837640364,0.41269178886906693,0.9632917196021912,0.9463681403808712,17.759478678943516,180.393877137235,17.759478678943516,180.393877137235,0.0,1.306455104813813,0.17759478678943516,1.80393877137235,1,2,True,414,0,0,0,0,1.0,1.0,0,3,1.0,8.934610790206726,39,18.725228020210622,87.44816828888347,rr,,full,pct,True,True,8.777331348206873,grid,8.0,0.602014800484047,2.4950669454193424,0.42651052373741927,,,,,,,82,19,-63
rsi_reversion,0.44632716258263816,0.46677218010809157,2.781457105646523,0.7479990484924343,0.712783128338349,0.8451056209149229,6.380201619008351,3.34626293113648,8.12759486724617,96.57508488274999,1.476558135584408,0.9928973187638092,0.06380201619008351,0.0334626293113648,8,3,True,157,0,0,0,0,1.0,1.0,1,1,1.987008111716802,2.0131074212620623,33,18.83670951385629,83.0768943263914,pct,5.891056935218724,full,pct,False,True,3.5344420712360147,grid,7.0,1.3098892437121723,2.2016993583736975,,,,,,,,58,23,-35
rsi_reversion,0.1982442027378628,0.28884340189179053,1.4294109196715254,0.3360849090056127,0.5543896636149864,0.8454840610517643,3.8462422141958474,2.017465589017932,3.844335796824508,49.49353547685632,1.0041916526654342,0.9845843028710495,0.038462422141958476,0.02017465589017932,8,3,True,188,0,0,0,0,1.0,1.0,0,1,1.0,2.022634173253316,33,18.83670951385629,83.0768943263914,pct,5.035666817898159,full,pct,False,True,5.8623911850628305,grid,1.0,2.224881534449018,2.2010015171350945,,,,,,,,79,43,-36
rsi_reversion,0.2634200196547587,0.4938965828183064,0.8505807172600299,1.1702987041673159,0.4332026497708271,0.49736689681991314,3.407049948030964,1.7854062860758726,5.495934404118706,34.20563863437365,2.000551470318117,0.6100193089939947,0.034070499480309636,0.01785406286075873,8,3,True,416,0,0,0,0,1.0,1.0,3,5,6.5349314555076665,6.7708459998070785,33,18.83670951385629,83.0768943263914,pct,1.6426347415579161,full,pct,False,True,6.624359159853271,grid,6.0,0.4495101137019629,2.7476735532642427,,,,,,,,76,61,-15
rsi_reversion,-1.014852913582398,1.3547662433590968,1.5334851237609248,1.1698746435619765,-0.8390295075202469,0.8391427424904118,-100.08972090999269,129.75301388081917,-100.08972090999269,129.75301388081917,0.0,0.0,-1.0008972090999269,1.2975301388081917,1,1,True,382,1,0,0,0,1.0,1.0,0,0,1.0,1.0,38,17.212864781965564,83.0768943263914,rr,,full,pct,False,False,5.901730753878122,martingale,,,,1.2984422700216196,,,2.0531343281107954,2.0,,,153,39,-114
rsi_reversion,0.0,0.0,1.037082966681968,0.14985473316400916,0.0,0.9162153477981735,0.0,53.47777520071101,0.0,53.47777520071101,0.0,1.2280924722579885,0.0,0.5347777520071101,0,2,True,609,0,0,0,0,1.0,1.0,0,1,1.0,2.018057781575827,33,14.932347874116694,89.68245559929932,pct,4.330207574455771,full,pct,True,True,7.517583788222395,grid,7.0,1.7838854856625332,1.6109351151396745,,,,,,,,107,51,-56
