strategy,return_train_pct,dd_train_pct,return_test_pct,dd_test_pct,sharpe_train,sharpe_test,median_pnl_per_position_train,median_pnl_per_position_test,avg_pnl_per_position_train,avg_pnl_per_position_test,sharpe_pnl_per_position_train,sharpe_pnl_per_position_test,median_pnl_per_position_train_pct,median_pnl_per_position_test_pct,trades_train,trades_test,eligible,trial,rsi_period,rsi_low_th,rsi_high_th,tp_mode,tp_pct,tp_mgmt,sl_type,sl_trailing,exit_on_flat,sl_pct,pm_mode,grid_max_adds,grid_spacing_pct,grid_size_multiplier,tp_rr,sl_atr_period,sl_atr_mult,martingale_multiplier,martingale_max_steps,tp1_close_frac,tp_trail_pct,rank_pre_wf,rank_post_wf,rank_delta
rsi_reversion,0.0,0.0,13.639845750424273,4.348540327192723,0.0,1.4418641040327649,0.0,690.805205381932,0.0,690.805205381932,0.0,4.126852162956422,0.0,6.908052053819319,0,2,True,629,38,17.212864781965564,87.44816828888347,pct,9.205930302228012,full,pct,True,False,4.182532885578902,grid,6.0,1.1707538371841464,2.3792707486359035,,,,,,,,107,1,-106
rsi_reversion,-2.8265843796706935,11.965764563537226,12.869446330119128,4.125334369522769,-0.2382261434661633,1.9192678541236565,56.90341541725199,651.196022178037,-65.30664199838884,651.196022178037,-0.34852087237026563,9.47245492040971,0.5690341541725199,6.511960221780369,4,2,True,313,25,14.932347874116694,89.68245559929932,pct,6.985664894299693,full,pct,True,False,6.81968778660985,grid,6.0,0.5251833457509926,1.0658834896913316,,,,,,,,173,2,-171
rsi_reversion,1.098567194495037,0.7255725675044223,9.780494249671756,2.5702788578427507,1.194348903425427,1.8470709287610076,111.06839173187231,494.41844435979635,111.06839173187231,494.41844435979635,0.0,60.63356463747012,1.110683917318723,4.944184443597964,1,2,True,1001,38,18.83670951385629,87.44816828888347,rr,,full,pct,True,False,6.8537457940598,grid,3.0,0.7923672187498149,1.1118511497053258,1.111469018848213,,,,,,,40,3,-37
rsi_reversion,-17.43024243886886,18.338360122320243,7.839751323507604,11.46753753935687,-1.438812337880453,0.9387844414195397,78.36797773061649,393.3391105042028,-244.71512738438702,161.77120597106955,-1.3313833171193377,0.6654112398420006,0.7836797773061649,3.933391105042028,7,5,True,394,25,14.932347874116694,83.73643905602607,pct,7.81654386378941,full,pct,False,False,8.687982075102038,grid,6.0,2.6630458009867564,2.7844639052751776,,,,,,,,197,4,-193
rsi_reversion,-25.11646124994892,25.67099328761664,7.826362419060651,12.175321850067304,-2.313179156605485,0.7379322512223397,-69.43908379989159,69.24992172148062,-275.49605892618666,199.82599510223673,-2.157228550483767,0.8208886946127215,-0.694390837998916,0.6924992172148062,9,4,True,445,25,14.932347874116694,83.0768943263914,rr,,partial_trailing,pct,True,False,9.257830751572182,grid,5.0,1.9382521539278028,1.1488746838898507,1.6261856948636744,,,,,0.3497738685999626,4.4456762965503795,199,5,-194
rsi_reversion,0.0,0.0,6.668682772285273,3.3855500578777584,0.0,1.627277158967491,0.0,675.3439813918723,0.0,675.3439813918723,0.0,0.0,0.0,6.753439813918723,0,1,True,307,38,13.617337880735406,89.68245559929932,pct,6.589581528615186,full,pct,False,False,7.188503827216581,grid,7.0,0.5306018438337835,1.9774960265464994,,,,,,,,107,6,-101
rsi_reversion,3.092585278855986,3.015777197206563,5.550775111839723,0.3804855690695247,1.1732972403928563,1.0123546703116657,2.8360109660310178,1.2382527314058929,5.867662309660869,16.253232069679996,2.0513641314129294,1.1778459304629478,0.02836010966031018,0.012382527314058929,82,39,True,114,25,12.517817983242903,78.31031231602825,rr,,full,pct,True,True,5.9536100546166715,grid,5.0,0.4836296330518223,2.56598997552938,1.4404918699004414,,,,,,,7,7,0
rsi_reversion,0.376006950126051,1.4352701504140406,5.011001877636634,1.8130504821036717,0.2639540873462601,1.0660359585929131,22.16518463582382,257.75251044142146,22.16518463582382,257.75251044142146,0.25589383398562227,0.8226199581175094,0.2216518463582382,2.5775251044142147,2,2,True,613,38,18.725228020210622,83.90138879240219,rr,,full,atr,False,False,,grid,2.0,1.0697184858053965,2.7935768198120234,1.4630212747243625,12.0,4.024811096417681,,,,,68,8,-60
rsi_reversion,-0.33457272798299575,0.43147219469831816,4.927880785533412,3.326679182280489,-0.9737455541540702,1.2644773741009043,-4.806666270060134,78.59630547475506,-4.527117064196195,168.128157846261,-3.058349523323114,1.5273257019758988,-0.04806666270060134,0.7859630547475506,6,3,True,803,25,14.932347874116694,87.44816828888347,pct,0.2568391555474344,partial_trailing,pct,True,False,7.613441706463265,grid,8.0,1.2208113526759101,1.9806465023191855,,,,,,0.20331968341557163,1.4133052274025841,139,9,-130
rsi_reversion,0.356971333199807,0.013338075959237345,4.885586161766842,0.9785698136324643,0.9633644463305469,0.8963711510234401,37.64413529607407,252.67377764448779,37.64413529607407,252.67377764448779,0.0,1.1950899132540138,0.37644135296074066,2.526737776444878,1,2,True,130,37,18.725228020210622,87.44816828888347,pct,5.48586054325407,partial_trailing,pct,True,True,4.1409060856488695,grid,3.0,0.599708427231138,1.7178029677767668,,,,,,0.7929950860085853,4.0064403536747335,70,10,-60
rsi_reversion,-3.5854974605305845,11.178193964554255,4.856951360193351,7.700299391346712,-0.33870843593436545,0.5695904641620608,-347.81684703222436,231.82228238388666,-85.47910330074103,165.9713789443022,-0.3732080955514017,0.7177387708587557,-3.478168470322244,2.3182228238388665,4,3,True,828,38,18.83670951385629,78.31031231602825,rr,,full,pct,False,False,6.920012928342968,grid,2.0,1.7090463671410818,1.539164337310018,7.919923482416921,,,,,,,180,11,-169
