strategy,return_train_pct,dd_train_pct,return_test_pct,dd_test_pct,tested,sharpe_train,sharpe_test,median_pnl_per_position_train,median_pnl_per_position_test,avg_pnl_per_position_train,avg_pnl_per_position_test,sharpe_pnl_per_position_train,sharpe_pnl_per_position_test,median_pnl_per_position_train_pct,median_pnl_per_position_test_pct,trades_train,trades_test,eligible,trial,fast_period,slow_period,tp_mode,tp_pct,tp_mgmt,tp1_close_frac,tp_trail_pct,sl_type,sl_trailing,exit_on_flat,sl_pct,pm_mode,tp_rr,martingale_multiplier,martingale_max_steps,rsi_period,rsi_low_th,rsi_high_th,sl_atr_period,sl_atr_mult,grid_max_adds,grid_spacing_pct,grid_size_multiplier,bb_period,bb_std,range_lookback,range_buffer_pct,stoch_k_period,stoch_d_period,stoch_oversold,stoch_overbought,rank_pre_wf,rank_post_wf,rank_delta
rsi_reversion,1.5677161920342852,0.02247099129610892,1.1221711968324888,0.9203842801195125,True,1.8231766401069187,0.6034392855221948,33.99332694495924,59.4250489890634,34.648889065724475,59.4250489890634,4.075221721700513,0.6689078188098118,0.33993326944959246,0.594250489890634,5,2,True,1656,,,rr,,partial_trailing,0.8272260165325128,0.9394313889076978,pct,False,True,2.451678916746389,martingale,7.215084653884468,3.429917980402017,2.0,39.0,21.43032387531419,89.00127820023857,,,,,,,,,,,,,,56,21,-35
ma_cross,0.9209212778385822,4.215869358201665,0.8455273781311945,2.416105151241869,True,0.17228403928712122,0.29923196821752474,-4.373183858142535,-3.2274302360975473,0.9829415806079436,1.1913070083683404,1.095902853037079,0.9712053590922693,-0.04373183858142535,-0.032274302360975476,671,220,True,1159,77.0,249.0,rr,,partial_trailing,0.5633259007686149,4.464901721677198,pct,False,False,9.530623575328201,none,4.421189249661455,,,,,,,,,,,,,,,,,,,60,22,-38
range_breakout,5.042085699521781,2.176347959874475,0.5280258056597376,1.5111842346917852,True,1.9906281185527943,0.4221906754389861,3.6781872248388385,4.479696218436528,2.9963524753470727,1.9496925898632795,3.3546434245723975,0.8288886778505952,0.036781872248388386,0.044796962184365276,242,50,True,1364,,,pct,0.497498447295042,partial_trailing,0.5655426219132659,0.8212994092050527,pct,True,False,9.032558958924348,none,,,,,,,,,,,,,,204.0,0.3772319496466877,,,,,49,23,-26
ma_cross,5.284542094872013,4.432774155200354,0.4764134714694057,2.806771439675112,True,0.7073965560700513,0.1524636517128592,-6.218776227499045,-4.435542232437049,1.9607809020624078,1.369884690382324,1.8174566273363857,0.8447654923948947,-0.06218776227499044,-0.044355422324370494,721,222,True,1630,80.0,247.0,pct,3.7059269576364966,partial_trailing,0.8090705977248199,3.9433940874825892,pct,True,True,6.673472608974199,none,,,,,,,,,,,,,,,,,,,,48,24,-24
stochastic,0.2189964620161744,0.0,0.438716929885441,0.7758551239423924,True,1.9258550287047917,0.49512004540696497,27.060341899715013,27.09137467131363,27.060341899715013,27.09137467131363,0.0,1354.0831685910284,0.2706034189971501,0.2709137467131363,1,2,True,889,,,rr,,full,,,pct,False,False,1.5534368002616015,none,0.27383578051200985,,,,,,,,,,,,,,,5.0,15.0,12.872455892845913,92.19498719443125,96,25,-71
rsi_reversion,50.35987255116196,7.906643930482862,0.3394549229563282,11.54265615120972,True,2.4289402258768695,0.09164283792914597,8.337485924290503,0.36068341473546245,293.61990868340973,-88.04622453722935,1.605255871539283,-1.3179342894688937,0.08337485924290503,0.0036068341473546243,17,7,True,637,,,rr,,full,,,pct,False,False,9.97502374347133,martingale,2.654230682498265,2.136695559581625,9.0,22.0,39.71287017107015,88.59838160760444,,,,,,,,,,,,,,16,26,10
stochastic,5.76997625517266,1.6941022698633352,0.3142684794148032,2.6632396065750576,True,2.120550005329416,0.15296737196533514,244.00336337315838,-99.10935451064904,159.25162830261212,12.724317674195058,2.10677690032715,0.13870744382355474,2.4400336337315838,-0.9910935451064904,4,3,True,481,,,pct,8.662227614643632,full,,,pct,False,False,3.5718074735281706,none,,,,,,,,,,,,,,,,5.0,12.0,12.872455892845913,92.23723053512909,46,27,-19
stochastic,9.251960476936194,2.8264662168531003,0.09712490046716038,3.85283970901003,True,1.8997266442541312,0.052292819111016506,26.286826128957294,10.252721418734788,11.463182734375524,2.3286140868269265,2.075419362090198,0.24287679180294067,0.26286826128957297,0.10252721418734789,88,31,True,1451,,,pct,4.600537388727981,full,,,pct,True,False,8.791779114067761,none,,,,,,,,,,,,,,,,5.0,6.0,12.872455892845913,92.23723053512909,37,28,-9
stochastic,2.781179459261196,0.6157572100317052,0.025183739059642107,4.26706668500292,True,2.239751732347965,0.027200503727759687,140.40131554219403,-102.32459260843021,140.40131554219403,2.5248678122129036,123.17583051466958,0.027948615703333304,1.4040131554219402,-1.023245926084302,2,6,True,1219,,,pct,8.861810635213786,partial_trailing,0.7360136018779625,2.021488788409392,pct,False,False,6.262707947959143,martingale,,1.7993519472047905,6.0,,,,,,,,,,,,,9.0,14.0,9.910849467341277,92.88098569005987,54,29,-25
stochastic,0.2583978218231531,0.03901884618200661,-0.07011565712092827,0.07011565712093215,True,0.9553980799715296,-1.4130894666954206,18.91439838967031,-1.0315014242452327,18.91439838967031,-1.0315014242452327,3.0759042146396065,0.0,0.1891439838967031,-0.010315014242452326,2,1,True,1095,,,pct,5.315210840320184,full,,,pct,False,True,1.3376859653944397,none,,,,,,,,,,,,,,,,6.0,15.0,11.048819601432335,92.9425679571923,95,30,-65
stochastic,0.26475947589683635,0.03997662285394688,-0.07184125438736144,0.07184125438736373,True,0.955410734940979,-1.4130897221102927,19.380173399946855,-1.0568874237652217,19.380173399946855,-1.0568874237652217,3.076044270810359,0.0,0.19380173399946857,-0.010568874237652218,2,1,True,895,,,pct,8.211266721727261,full,,,pct,False,True,1.3055553008489007,none,,,,,,,,,,,,,,,,6.0,15.0,11.048819601432335,94.71578619238059,94,31,-63
stochastic,0.2838265639727888,0.0428464434457847,-0.07701301862933496,0.07701301862933178,True,0.955448654498602,-1.4130904874559556,20.77622135833367,-1.1329714597780471,20.77622135833367,-1.1329714597780471,3.0764640836061217,0.0,0.2077622135833367,-0.01132971459778047,2,1,True,1417,,,pct,7.668254803871764,full,,,pct,False,True,1.2178814978865715,none,,,,,,,,,,,,,,,,6.0,15.0,11.048819601432335,94.71578619238059,91,32,-59
stochastic,0.3003679287326033,0.04533511930098971,-0.081499487043879,0.08149948704387498,True,0.955481539145699,-1.4130911511998503,21.98738010038663,-1.1989738157346728,21.98738010038663,-1.1989738157346728,3.0768283317893568,0.0,0.2198738010038663,-0.011989738157346727,2,1,True,1596,,,pct,1.46688488239786,full,,,pct,False,True,1.1508382922038496,none,,,,,,,,,,,,,,,,6.0,15.0,11.048819601432335,92.23723053512909,90,33,-57
stochastic,0.28199000835078536,0.04242476753025138,-0.09379273048505388,0.09379273048505637,True,0.9721615340072512,-1.41309296901049,21.236364504157223,-1.3798249784972236,21.236364504157223,-1.3798249784972236,3.969179113755463,0.0,0.21236364504157224,-0.013798249784972237,2,1,True,1494,,,rr,,partial_trailing,0.6325345035777752,0.11842634052223774,atr,False,True,,none,5.1863809938325005,,,,,,57.0,3.6215070195112564,,,,,,,,6.0,15.0,11.048819601432335,94.71578619238059,92,34,-58
stochastic,0.34569626823517385,0.05215011635604709,-0.09379273048505388,0.09379273048505637,True,0.9555715964416298,-1.41309296901049,25.306503883537623,-1.3798249784972236,25.306503883537623,-1.3798249784972236,3.077826700635995,0.0,0.25306503883537623,-0.013798249784972237,2,1,True,1041,,,pct,2.458009532362593,partial_trailing,0.6778135454845273,4.285697517126114,atr,False,True,,none,,,,,,,51.0,2.6845094129015017,,,,,,,,6.0,15.0,11.048819601432335,94.71578619238059,81,34,-47
stochastic,0.34569626823517385,0.05215011635604709,-0.09379273048505388,0.09379273048505637,True,0.9555715964416298,-1.41309296901049,25.306503883537623,-1.3798249784972236,25.306503883537623,-1.3798249784972236,3.077826700635995,0.0,0.25306503883537623,-0.013798249784972237,2,1,True,1067,,,pct,9.629120987338261,full,,,atr,False,True,,none,,,,,,,48.0,1.0704619251106975,,,,,,,,6.0,15.0,11.048819601432335,91.90241809222587,81,34,-47
stochastic,0.34569626823517385,0.05215011635604709,-0.09379273048505388,0.09379273048505637,True,0.9555715964416298,-1.41309296901049,25.306503883537623,-1.3798249784972236,25.306503883537623,-1.3798249784972236,3.077826700635995,0.0,0.25306503883537623,-0.013798249784972237,2,1,True,1458,,,pct,3.688315954563863,full,,,atr,False,True,,none,,,,,,,42.0,2.8069918297027803,,,,,,,,6.0,15.0,11.048819601432335,92.19498719443125,81,34,-47
stochastic,0.34569626823517385,0.05215011635604709,-0.09379273048505388,0.09379273048505637,True,0.9555715964416298,-1.41309296901049,25.306503883537623,-1.3798249784972236,25.306503883537623,-1.3798249784972236,3.077826700635995,0.0,0.25306503883537623,-0.013798249784972237,2,1,True,1647,,,pct,4.885245470835661,partial_trailing,0.620052205878739,3.6027598936020544,atr,False,True,,none,,,,,,,9.0,1.5567916003611115,,,,,,,,6.0,15.0,11.048819601432335,92.23723053512909,81,34,-47
stochastic,0.34569626823517385,0.05215011635604709,-0.09379273048505388,0.09379273048505637,True,0.9555715964416298,-1.41309296901049,25.306503883537623,-1.3798249784972236,25.306503883537623,-1.3798249784972236,3.077826700635995,0.0,0.25306503883537623,-0.013798249784972237,2,1,True,1695,,,pct,3.307196262429258,partial_trailing,0.6514135440982457,0.7797320097737134,pct,False,True,0.32998263396451544,martingale,,3.269620029318567,2.0,,,,,,,,,,,,,6.0,15.0,11.048819601432335,91.90241809222587,81,34,-47
stochastic,0.34569626823517385,0.05215011635604709,-0.09379273048505388,0.09379273048505637,True,0.9555715964416298,-1.41309296901049,25.306503883537623,-1.3798249784972236,25.306503883537623,-1.3798249784972236,3.077826700635995,0.0,0.25306503883537623,-0.013798249784972237,2,1,True,1761,,,pct,6.8769678983089895,full,,,atr,False,True,,none,,,,,,,39.0,1.2130761879330039,,,,,,,,6.0,15.0,11.048819601432335,91.90241809222587,81,34,-47
stochastic,0.34569626823517385,0.05215011635604709,-0.09379273048505388,0.09379273048505637,True,0.9555715964416298,-1.41309296901049,25.306503883537623,-1.3798249784972236,25.306503883537623,-1.3798249784972236,3.077826700635995,0.0,0.25306503883537623,-0.013798249784972237,2,1,True,1818,,,pct,2.562271298617536,full,,,atr,False,True,,none,,,,,,,14.0,1.4219056895857471,,,,,,,,6.0,15.0,11.048819601432335,94.71578619238059,81,34,-47
stochastic,0.34569626823517385,0.05215011635604709,-0.09379273048505388,0.09379273048505637,True,0.9555715964416298,-1.41309296901049,25.306503883537623,-1.3798249784972236,25.306503883537623,-1.3798249784972236,3.077826700635995,0.0,0.25306503883537623,-0.013798249784972237,2,1,True,1870,,,pct,6.701956149706433,full,,,atr,False,True,,none,,,,,,,12.0,0.6648547442997288,,,,,,,,6.0,15.0,11.048819601432335,92.23723053512909,81,34,-47
stochastic,0.48671342603907597,0.11739626205995592,-0.1452207087336732,0.1452207087336683,True,0.9302877295435587,-1.5349430921519402,4.666777152508494,-3.964840982065221,11.459713001024697,-3.964840982065221,1.4738300553092567,-2.158400704935349,0.04666777152508494,-0.03964840982065221,6,2,True,1536,,,rr,,full,,,pct,False,True,4.357877786782266,martingale,4.212354151954655,2.5930658894509433,9.0,,,,,,,,,,,,,9.0,12.0,6.97352466328562,92.88098569005987,72,43,-29
stochastic,0.5285527188758632,0.13093582065672307,-0.1605889853318332,0.1605889853318331,True,0.9827376072097068,-1.600291523167318,6.2762657273066775,-4.325815968505209,12.610205310416712,-4.325815968505209,1.6195670578902566,-2.459572570038291,0.06276265727306678,-0.04325815968505209,6,2,True,1649,,,rr,,full,,,pct,False,True,3.240238995149652,martingale,8.455944914001062,2.0018326308581385,10.0,,,,,,,,,,,,,9.0,12.0,6.97352466328562,92.88098569005987,70,44,-26
stochastic,0.34569626823517385,0.05215011635604709,-0.1818679716906635,0.18186797169066266,True,0.9555715964416298,-1.00000978047719,25.306503883537623,-10.190873518473825,25.306503883537623,-10.190873518473825,3.077826700635995,0.0,0.25306503883537623,-0.10190873518473825,2,1,True,1915,,,pct,8.78754668072766,full,,,atr,False,True,,none,,,,,,,23.0,0.6150157053727936,,,,,,,,6.0,15.0,11.048819601432335,92.19498719443125,81,45,-36
stochastic,0.6349729330389131,0.20248453291840632,-0.24164129841696136,0.24164129841696197,True,1.102554003538304,-1.7725458411847286,14.88567329744226,-6.222236613689574,16.447388038329436,-6.222236613689574,2.190923926059847,-4.7415540875356825,0.1488567329744226,-0.06222236613689574,6,2,True,1193,,,rr,,full,,,pct,False,True,1.3643564426183261,none,5.7287393451541595,,,,,,,,,,,,,,,9.0,12.0,6.97352466328562,92.88098569005987,68,46,-22
stochastic,0.6779890845690195,0.24546407645737417,-0.2962762180002909,0.29627621800029375,True,1.146982521670806,-1.711468608770155,15.45740417329405,-7.77643319603925,18.02425039544696,-7.77643319603925,2.0860409117097114,-3.3895767415320117,0.1545740417329405,-0.0777643319603925,6,2,True,998,,,pct,0.5029499986754636,full,,,pct,False,True,1.3145253927564031,martingale,,1.9215723990751983,9.0,,,,,,,,,,,,,9.0,12.0,6.97352466328562,92.23723053512909,67,47,-20
stochastic,0.8666563640094438,0.2762103131392178,-0.3296139251559693,0.32961392515597254,True,1.1027600024540845,-1.7726345231688694,20.325473970039585,-8.48729212782178,22.449280134071575,-8.48729212782178,2.1915265049396155,-4.744258710349026,0.20325473970039584,-0.0848729212782178,6,2,True,699,,,rr,,full,,,pct,False,True,0.8252264777251801,none,2.1688583962469155,,,,,,,,,,,,,,,9.0,12.0,6.97352466328562,92.88098569005987,61,48,-13
stochastic,0.8666563640094438,0.2762103131392178,-0.3296139251559693,0.32961392515597254,True,1.1027600024540845,-1.7726345231688694,20.325473970039585,-8.48729212782178,22.449280134071575,-8.48729212782178,2.1915265049396155,-4.744258710349026,0.20325473970039584,-0.0848729212782178,6,2,True,1328,,,rr,,full,,,pct,False,True,0.34156773740972646,none,2.4830028525856114,,,,,,,,,,,,,,,9.0,12.0,6.97352466328562,92.88098569005987,61,48,-13
stochastic,0.8666563640094438,0.2762103131392178,-0.3296139251559693,0.32961392515597254,True,1.1027600024540845,-1.7726345231688694,20.325473970039585,-8.48729212782178,22.449280134071575,-8.48729212782178,2.1915265049396155,-4.744258710349026,0.20325473970039584,-0.0848729212782178,6,2,True,1731,,,rr,,partial_trailing,0.7316452160161209,4.576130845182541,pct,False,True,0.891509718626412,none,1.2361802198500458,,,,,,,,,,,,,,,9.0,12.0,6.97352466328562,92.23723053512909,61,48,-13
