strategy,return_train_pct,dd_train_pct,dd_train_intrabar_pct,exec_reject_rate_train,exec_round_rate_train,return_test_pct,dd_test_pct,dd_test_intrabar_pct,exec_reject_rate_test,exec_round_rate_test,tested,liquidated_train,liquidated_test,peak_notional_pct_equity_train,peak_notional_pct_equity_test,peak_qty_mult_train,peak_qty_mult_test,cap_hit_rate_train,cap_hit_rate_test,sharpe_train,sharpe_test,median_pnl_per_position_train,median_pnl_per_position_test,avg_pnl_per_position_train,avg_pnl_per_position_test,sharpe_pnl_per_position_train,sharpe_pnl_per_position_test,median_pnl_per_position_train_pct,median_pnl_per_position_test_pct,trades_train,trades_test,eligible,trial,fast_period,slow_period,tp_mode,tp_pct,tp_mgmt,tp1_close_frac,tp_trail_pct,sl_type,sl_trailing,exit_on_flat,sl_pct,pm_mode,grid_max_adds,grid_spacing_pct,grid_size_multiplier,tp_rr,martingale_multiplier,martingale_max_steps,sl_atr_period,sl_atr_mult,rsi_period,rsi_low_th,rsi_high_th,bb_period,bb_std,range_lookback,range_buffer_pct,stoch_k_period,stoch_d_period,stoch_oversold,stoch_overbought,rank_pre_wf,rank_post_wf,rank_delta
range_breakout,120.3858565763963,24.569780539919492,26.596895165315456,0.0,1.0,3.9377509508778052,9.000687149442435,9.456368983323838,0.0,1.0,True,False,False,4723.045491399478,1930.9999084032033,1.0,1.0,0.0,0.0,1.8497580281793975,0.33859758611139934,-91.97070050783968,16.941621721014897,379.8924603292992,74.868661464536,1.5524375891969546,0.9362095972947896,-0.9197070050783968,0.16941621721014896,39,12,True,212,,,pct,2.283346749776838,full,,,atr,True,False,,martingale,,,,,2.0666899638802345,9.0,48.0,3.6221274240430836,,,,,,100.0,0.11978094533348621,,,,,2,1,-1
ma_cross,4.7784602041570645,3.6783656399897295,3.6719539788094204,0.0,1.0,2.132267384592934,1.265260718665944,1.235007696461185,0.0,1.0,True,False,False,52.36213785439162,51.86877275089008,1.0,1.0,0.0,0.0,0.9607748435066703,0.926318904661702,-13.915964200000381,-8.45886159999983,13.631848231056882,15.6295983866151,1.5825520447994579,0.9868641324810377,-0.1391596420000038,-0.0845886159999983,57,16,True,178,24.0,103.0,pct,2.681781774621544,full,,,pct,False,False,1.95208560865861,none,,,,,,,,,,,,,,,,,,,,5,2,-3
range_breakout,190.64546580316212,32.69686456139225,28.199322054701987,0.0,1.0,1.699890122363934,11.852136050601537,8.762158716262118,0.0,1.0,True,False,False,5404.805763917458,1506.0082901592548,1.0,1.0,0.04,0.0,1.856958603458094,0.19110755805035315,19.128685835145937,-1.0950484891722922,949.8834672785804,74.16249989727677,1.65712231464094,0.8645175535315293,0.19128685835145937,-0.010950484891722923,25,6,True,197,,,pct,5.840348197322532,full,,,atr,True,False,,martingale,,,,,3.4018867125323107,8.0,54.0,3.089286298046319,,,,,,240.0,0.09382244034606985,,,,,1,3,2
ma_cross,3.5945088690359617,3.394334430105205,3.4649972402801086,0.0,1.0,0.2715579694613446,1.4021008319991402,1.3632385514249736,0.0,1.0,True,False,False,49.29175544267453,48.556221214947826,1.0,1.0,0.0,0.0,0.7913850528908629,0.1375269809007098,-13.154750399999903,8.26261519999952,13.0755377357601,3.103748042857337,0.9701945862534382,0.17054822909003947,-0.13154750399999904,0.08262615199999519,34,7,True,193,24.0,213.0,pct,5.982391817235302,full,,,pct,False,True,2.064325119483725,none,,,,,,,,,,,,,,,,,,,,6,4,-2
ma_cross,0.7232437280479731,0.35039730368339983,0.4113459010486465,0.0,1.0,-0.10153269837958057,0.3529542597024256,0.37805980376047493,0.0,1.0,True,False,False,20.956876341964445,21.17597803980968,2.090909090909091,2.0,0.0,0.0,1.2510044059079701,-0.3193711175788533,5.939489112555951,7.839376116814179,4.042253972817904,-0.47092244155310403,2.0718936035961857,-0.10269535218546609,0.05939489112555951,0.0783937611681418,23,7,True,171,48.0,216.0,pct,0.9749008141558881,partial_trailing,0.8707912990236645,4.947052046243019,pct,False,False,9.198863161854353,grid,7.0,1.5063935904587629,1.9372331162551693,,,,,,,,,,,,,,,,,10,5,-5
ma_cross,1.3196182064387996,0.7998497253071366,0.864765394587142,0.0,1.0,-0.3149580807068397,0.4204571596695156,0.4475740780947108,0.0,1.0,True,False,False,23.89263906134394,23.477983561369044,2.0833333333333335,2.0833333333333335,0.0,0.0,0.9025443192630347,-0.5943234282959846,-3.092706500000044,-3.6448476999998385,5.101963582496204,-2.2174405026685933,1.5426221684783223,-0.41581236041699665,-0.03092706500000044,-0.03644847699999838,36,9,True,208,58.0,200.0,pct,2.0577879585365912,full,,,pct,False,False,8.374072209642712,grid,4.0,1.8225065536012035,1.7687098475571492,,,,,,,,,,,,,,,,,8,6,-2
ma_cross,1.5156361776364813,1.0983966262896585,1.2965013692165348,0.0,1.0,-0.3488594025463865,0.4816269161369825,0.5456292642400988,0.0,1.0,True,False,False,99.45803985621114,56.09394891016159,6.75,3.6470588235294117,0.0,0.0,0.8366619593545246,-0.7235500918242073,0.6500803364400053,-0.6670053963244936,4.323458851065597,-0.10563589980257951,2.250783233263258,-0.07426020908116013,0.006500803364400053,-0.006670053963244936,62,18,True,146,79.0,195.0,pct,0.2642195063857759,partial_trailing,0.5096744466394248,1.171154087229793,pct,False,False,6.487210625053553,grid,8.0,0.4556867852306801,1.682132702100517,,,,,,,,,,,,,,,,,7,7,0
ma_cross,1.047316860091807,0.3884032838645538,0.43816100037794936,0.0,1.0,-0.4792150555698593,0.6037400926910794,0.6092488577283267,0.0,1.0,True,False,False,13.767521014648107,13.651161708918444,1.0,1.0,0.0,0.0,1.3211700511567739,-0.9676278862355268,-0.7455628499999585,-5.610227999999915,5.1191405099237155,-5.5186332834897245,1.9193482269883757,-0.8426584561567739,-0.007455628499999585,-0.05610227999999915,26,7,True,77,79.0,191.0,pct,1.534572729115774,partial_trailing,0.8162984993980187,2.4729420131255577,pct,False,False,7.309586991593681,none,,,,,,,,,,,,,,,,,,,,9,8,-1
range_breakout,13.269079404878358,3.733888273588425,3.6654504279305513,0.0,1.0,-0.6947300354865016,3.813216233532519,2.903733270204713,0.0,1.0,True,False,False,424.7960167976883,292.1871427760634,1.0,1.0,0.0,0.0,1.6796826598115342,-0.18349715500719424,65.45091873513314,-23.02028082490206,86.0388923579139,11.912401551799544,2.154983633173147,0.2221373472678228,0.6545091873513315,-0.2302028082490206,21,5,True,148,,,rr,,full,,,atr,True,False,,none,,,,4.648828723216045,,,54.0,2.2567278315710055,,,,,,211.0,0.2277198069659585,,,,,4,9,5
range_breakout,25.201523481715626,3.94448001011124,3.4908207365736557,0.0,1.0,-1.9449031924341442,4.329313233235373,3.732087587433155,0.0,1.0,True,False,False,217.9722469511845,218.0056128844639,1.0,1.0,0.0,0.0,2.384402288015283,-0.4140406479968962,41.60416886409362,-16.891584827542594,102.92943843767391,1.59621351369561,2.3628816649609647,0.051175340926922816,0.41604168864093627,-0.16891584827542594,31,11,True,113,,,pct,8.855288660558491,partial_trailing,0.186413419908481,2.0962366431575847,pct,True,False,0.46488450597554165,none,,,,,,,,,,,,,,180.0,0.040909098635545926,,,,,3,10,7
