strategy,return_train_pct,dd_train_pct,dd_train_intrabar_pct,exec_reject_rate_train,exec_round_rate_train,return_test_pct,dd_test_pct,dd_test_intrabar_pct,exec_reject_rate_test,exec_round_rate_test,tested,liquidated_train,liquidated_test,peak_notional_pct_equity_train,peak_notional_pct_equity_test,peak_qty_mult_train,peak_qty_mult_test,cap_hit_rate_train,cap_hit_rate_test,sharpe_train,sharpe_test,median_pnl_per_position_train,median_pnl_per_position_test,avg_pnl_per_position_train,avg_pnl_per_position_test,sharpe_pnl_per_position_train,sharpe_pnl_per_position_test,median_pnl_per_position_train_pct,median_pnl_per_position_test_pct,trades_train,trades_test,eligible,trial,martingale_max_loss_streak_train,martingale_max_loss_streak_test,martingale_max_step_used_train,martingale_max_step_used_test,martingale_max_multiplier_used_train,martingale_max_multiplier_used_test,grid_max_adds_used_train,grid_max_adds_used_test,grid_max_multiplier_used_train,grid_max_multiplier_used_test,fast_period,slow_period,tp_mode,tp_pct,tp_mgmt,tp1_close_frac,tp_trail_pct,sl_type,sl_trailing,exit_on_flat,sl_pct,pm_mode,grid_max_adds,grid_spacing_pct,grid_size_multiplier,tp_rr,martingale_multiplier,martingale_max_steps,sl_atr_period,sl_atr_mult,rsi_period,rsi_low_th,rsi_high_th,bb_period,bb_std,range_lookback,range_buffer_pct,stoch_k_period,stoch_d_period,stoch_oversold,stoch_overbought,rank_pre_wf,rank_post_wf,rank_delta
ma_cross,0.7232437280479731,0.35039730368339983,0.4113459010486465,0.0,1.0,-0.10153269837958057,0.3529542597024256,0.37805980376047493,0.0,1.0,True,False,False,20.956876341964445,21.17597803980968,2.090909090909091,2.0,0.0,0.0,1.2510044059079701,-0.3193711175788533,5.939489112555951,7.839376116814179,4.042253972817904,-0.47092244155310403,2.0718936035961857,-0.10269535218546609,0.05939489112555951,0.0783937611681418,23,7,True,171,0,0,0,0,1.0,1.0,1,1,1.0,1.0,48.0,216.0,pct,0.9749008141558881,partial_trailing,0.8707912990236645,4.947052046243019,pct,False,False,9.198863161854353,grid,7.0,1.5063935904587629,1.9372331162551693,,,,,,,,,,,,,,,,,10,5,-5
ma_cross,1.047316860091807,0.3884032838645538,0.43816100037794936,0.0,1.0,-0.4792150555698593,0.6037400926910794,0.6092488577283267,0.0,1.0,True,False,False,13.767521014648107,13.651161708918444,1.0,1.0,0.0,0.0,1.3211700511567739,-0.9676278862355268,-0.7455628499999585,-5.610227999999915,5.1191405099237155,-5.5186332834897245,1.9193482269883757,-0.8426584561567739,-0.007455628499999585,-0.05610227999999915,26,7,True,77,0,0,0,0,1.0,1.0,0,0,1.0,1.0,79.0,191.0,pct,1.534572729115774,partial_trailing,0.8162984993980187,2.4729420131255577,pct,False,False,7.309586991593681,none,,,,,,,,,,,,,,,,,,,,9,8,-1
ma_cross,1.0594258544679436,0.780652101994155,0.7797834199790713,0.0,1.0,-0.7199980421173091,0.8208801362928517,0.8199645792555235,0.0,1.0,True,False,False,12.985289388739126,12.621601243718455,1.0,1.0,0.0,0.0,0.9222893630938093,-1.3297055791126005,-0.7427523999999031,-8.545069399999978,9.33297938333334,-12.36665005999995,1.2183425800359946,-1.779972120507522,-0.00742752399999903,-0.08545069399999977,12,5,False,124,0,0,0,0,1.0,1.0,0,0,1.0,1.0,79.0,234.0,rr,,full,,,pct,False,False,7.913144823346212,none,,,,3.9638756239995843,,,,,,,,,,,,,,,,,,
ma_cross,1.3196182064387996,0.7998497253071366,0.864765394587142,0.0,1.0,-0.3149580807068397,0.4204571596695156,0.4475740780947108,0.0,1.0,True,False,False,23.89263906134394,23.477983561369044,2.0833333333333335,2.0833333333333335,0.0,0.0,0.9025443192630347,-0.5943234282959846,-3.092706500000044,-3.6448476999998385,5.101963582496204,-2.2174405026685933,1.5426221684783223,-0.41581236041699665,-0.03092706500000044,-0.03644847699999838,36,9,True,208,0,0,0,0,1.0,1.0,1,1,1.0,1.0,58.0,200.0,pct,2.0577879585365912,full,,,pct,False,False,8.374072209642712,grid,4.0,1.8225065536012035,1.7687098475571492,,,,,,,,,,,,,,,,,8,6,-2
ma_cross,1.5156361776364813,1.0983966262896585,1.2965013692165348,0.0,1.0,-0.3488594025463865,0.4816269161369825,0.5456292642400988,0.0,1.0,True,False,False,99.45803985621114,56.09394891016159,6.75,3.6470588235294117,0.0,0.0,0.8366619593545246,-0.7235500918242073,0.6500803364400053,-0.6670053963244936,4.323458851065597,-0.10563589980257951,2.250783233263258,-0.07426020908116013,0.006500803364400053,-0.006670053963244936,62,18,True,146,0,0,0,0,1.0,1.0,3,2,1.0,1.0,79.0,195.0,pct,0.2642195063857759,partial_trailing,0.5096744466394248,1.171154087229793,pct,False,False,6.487210625053553,grid,8.0,0.4556867852306801,1.682132702100517,,,,,,,,,,,,,,,,,7,7,0
ma_cross,1.7147499813732203,1.1947595999920524,1.1810452664954896,0.0,1.0,-1.0163903853849465,1.154255653874099,1.1526985723144736,0.0,1.0,True,False,False,18.406155351829735,17.33078972794562,1.0,1.0,0.0,0.0,1.0504860612588067,-1.3449041643625268,-2.5487512000001735,-15.96731689999999,12.109088340000032,-17.540575099999884,1.2309330070942968,-2.1277485392099478,-0.025487512000001735,-0.1596731689999999,15,5,False,226,0,0,0,0,1.0,1.0,0,0,1.0,1.0,78.0,221.0,rr,,full,,,pct,False,True,5.797234147321125,none,,,,5.032623251044513,,,,,,,,,,,,,,,,,,
ma_cross,1.8710476720929625,1.4509672541233571,1.533765826308983,0.0,1.0,-0.45406759355201,1.1114337922073698,1.0979191103135433,0.0,1.0,True,False,False,37.5752602749285,36.82915604464663,1.0,1.0,0.0,0.0,0.7203764230875732,-0.338787894404746,-7.005948000000208,-7.5658304999999375,12.772864905882459,-5.55228655999993,0.8431098340737643,-0.5252529436713826,-0.07005948000000208,-0.07565830499999937,17,5,False,306,5,1,1,1,2.645553201146331,2.645553201146331,0,0,1.0,1.0,58.0,250.0,rr,,full,,,pct,True,False,7.251617748326476,martingale,,,,7.097067731260452,2.645553201146331,1.0,,,,,,,,,,,,,,,,
ma_cross,2.139476888473446,1.524546462767858,1.5679014458934173,0.0,1.0,-0.6505247941086645,1.059745971234015,1.071237907846286,0.0,1.0,True,False,False,44.21385885099475,27.544487594488377,1.0,1.0,0.0,0.0,0.8709685891187476,-0.5599584671967416,-10.99615760000005,-13.32164339999987,15.625236000000042,-11.193231380000025,1.0737837555198453,-1.0165662884416988,-0.10996157600000049,-0.1332164339999987,14,5,False,71,4,1,4,1,1.8650776476240196,1.1686224612311151,0,0,1.0,1.0,53.0,245.0,rr,,full,,,pct,False,True,4.202699508460912,martingale,,,,4.826437475317599,1.1686224612311151,10.0,,,,,,,,,,,,,,,,
ma_cross,2.7119374541111796,1.6625444965779543,1.640639828471752,0.0,1.0,-1.5220691481779403,1.7336558058185445,1.7308968870855705,0.0,1.0,True,False,False,27.32692746970022,25.9330178822304,1.0,1.0,0.0,0.0,1.105911966550219,-1.3345308159407965,-0.762381199999945,-21.093840200000034,22.74724059166671,-26.210876379999814,1.270924662025489,-1.9767278313190426,-0.007623811999999451,-0.21093840200000036,12,5,False,199,0,0,0,0,1.0,1.0,0,0,1.0,1.0,79.0,215.0,rr,,full,,,pct,False,False,3.860630009388401,none,,,,6.190168015177361,,,,,,,,,,,,,,,,,,
ma_cross,3.40576933722887,1.8521437006688413,1.854792680024881,0.0,1.0,-1.0769178928954348,1.340440145535831,1.3283704874911568,0.0,1.0,True,False,False,54.82687662429049,31.06702021614219,1.0,1.0,0.0,0.0,1.1088527893314355,-0.9112730178621683,-0.7623540999999752,-14.167437999999965,29.9723196916667,-17.14255357999985,1.4738676648684257,-1.8961242544745234,-0.007623540999999751,-0.14167437999999963,12,5,False,230,2,1,2,1,3.0289051675726117,1.740375007741898,0,0,1.0,1.0,77.0,227.0,rr,,full,,,pct,False,False,5.591939996845136,martingale,,,,8.545821473162983,1.740375007741898,8.0,,,,,,,,,,,,,,,,
